ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,-0.12571836,0.8328792,-0.5042219,-0.06650418,0.5130055,0.024922013,0.6810901,0.33759046,-0.27309692,-0.254238,0.6351887,-0.72529036,-0.94385695,0.6093873,-0.2969151,0.8336334,0.37738407,-0.44837427,0.1903832,0.8619834,0.13575387,-0.6574304,0.23378968,-0.61085546,0.49986386,-0.16809493,-0.763551,0.7045468
1,0.36636692,-0.9152714,-0.27661383,0.95927954,0.96859705,0.6151135,0.6810901,0.33759046,-0.5900003,0.005628586,-0.6458932,0.45873737,-0.94385695,0.13641119,0.6703913,-0.18287605,-0.48798776,0.89499545,-0.5447705,-0.0016104579,-0.6977394,0.23838186,0.8911916,-0.13601273,-0.17459303,-0.77562296,-0.8170983,-0.88177663
2,-0.120089054,-0.21508002,-0.5042219,-0.36969715,-0.30496383,0.2903583,0.6810901,-0.77565557,-0.27309692,-0.19015712,-0.36197257,0.36904085,-0.04369718,-0.3815003,0.87875247,-0.23664808,-0.3674541,-0.20175773,0.1903832,-0.0016104579,-0.6977394,0.23838186,0.8911916,-0.831963,-0.17459303,0.77611446,-0.8170983,0.7045468
3,0.45587105,0.5620283,0.68626916,0.8950157,0.90932345,0.6192099,-0.1575746,0.625669,-0.23600018,0.8026314,-0.64786965,0.8433814,0.7623224,-0.19826102,0.87875247,0.12707746,0.7711688,-0.1852768,0.26570213,0.12462604,-0.80464303,0.23838186,-0.13706523,-0.77651036,-0.54365003,0.77611446,0.39283836,0.7045468
4,-0.031652927,0.57857203,-0.2139172,-0.06650418,0.90932345,0.6192099,0.37201524,0.625669,-0.8179863,0.8026314,-0.09248525,0.45873737,0.7623224,-0.452325,-0.03658718,0.34625804,-0.47264737,-0.5773503,0.26570213,-0.86676383,0.13575387,0.3990047,0.8911916,-0.13601273,-0.11622852,0.77611446,-0.7376058,0.7045468
5,0.021320939,0.7533165,-0.27661383,-0.23758125,0.90932345,0.2903583,0.41008055,-0.77565557,-0.5900003,0.5752386,0.06712222,-0.5359927,-0.04369718,-0.96298414,-0.03658718,0.12707746,0.71747935,0.89072764,0.1903832,-0.0016104579,-0.6977394,0.26280773,0.8911916,0.6209029,-0.11622852,0.77611446,0.942822,0.7045468
6,0.45279294,-0.475475,0.68626916,-0.36969715,0.90932345,0.2903583,0.470461,-2.6285648E-5,-0.14344567,-0.19015712,-0.36197257,0.5719727,-0.04369718,0.13641119,0.2255429,0.3606832,0.895414,0.3610344,-0.8296096,0.0014417171,0.97361624,0.3990047,-0.13706523,-0.831963,-0.54365003,-0.7748363,0.39283836,-0.64603525
7,0.68592536,0.7533165,-0.31390333,-0.23758125,0.37983525,0.5841656,0.37542546,0.625669,-0.5392417,-0.70561785,0.18409288,0.8433814,0.13500547,0.6025592,0.87875247,0.12707746,0.71747935,-0.11274314,0.31805253,0.12462604,-0.23070091,0.20935655,0.8893907,0.89871705,-0.11622852,0.77611446,0.7858633,0.7045468
8,0.40715307,0.71812534,-0.1977858,0.7508949,-0.19457644,-0.74469876,0.41008055,-0.3920123,-0.5392417,-0.19015712,-0.09248525,0.8433814,-0.8542161,0.6025592,0.24746025,0.117948174,0.71747935,0.89072764,0.26570213,0.26233935,-0.80464303,0.98805714,0.023743749,-0.26780486,-0.7687939,0.24047565,0.41175437,0.8879554
9,-0.35895276,-0.6229093,0.95271695,-0.6554148,0.90932345,-0.35063195,0.41008055,0.24462974,0.34624708,0.57637584,-0.09248525,0.90218556,0.44007576,0.8543153,-0.3702516,-0.16810316,-0.3456977,-0.91238135,0.52737653,0.24564302,0.63896513,0.20935655,-0.25587225,0.89871705,0.738914,0.91895926,-0.516925,0.64757335
