ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7
65,0.997736,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
66,0.99764425,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
67,0.9973657,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
68,0.9974344,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
69,0.9975083,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
70,0.9974787,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
71,0.99751323,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
72,0.9976894,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
73,0.99753386,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
74,0.99744827,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
75,0.9975277,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
76,0.99766207,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
77,0.9976702,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
78,0.9977651,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
79,0.9974055,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
80,0.9975854,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
81,0.9976272,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
82,0.99748987,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
83,0.9976674,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
84,0.99771196,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
85,0.99750364,0.019585371,0.6791998,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
86,0.99767095,0.019585371,0.6791998,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
87,0.9974859,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
88,0.99753714,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
89,0.9974011,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,0.5849316,-0.14812654
90,0.99752903,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
91,0.9974758,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
92,0.99778193,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.10946643,-0.14812654
93,0.9976116,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.10946643,-0.14812654
94,0.9976994,0.019585371,0.6791998,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
95,0.99757636,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
96,0.99760807,0.019585371,-0.10827011,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
97,0.99714077,0.91489995,0.6791998,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
98,0.9971068,0.9843596,0.6791998,0.7721462,0.09590733,0.12667799,-0.9885674,0.5849316,-0.14812654
99,0.97633094,0.91489995,0.6791998,-0.6350393,0.09590733,0.12667799,-0.9885674,-0.86229265,-0.14812654
