Generation,Maximum Fitness,Average Fitness,Variance
0,0.7663774,0.13824545,0.19816896
1,0.7663774,0.13567725,0.19107935
2,0.7663774,0.13654819,0.19645269
3,0.7663774,0.078209735,0.25417766
4,0.7663774,0.07457655,0.22320278
5,0.7663774,0.18419641,0.1898186
6,0.7663774,0.20291151,0.23946355
7,0.7663774,0.17456207,0.26690492
8,0.76979744,0.18991485,0.2713572
9,0.78007287,0.20089471,0.24628867
10,0.78007287,0.19363503,0.19576165
11,0.81660223,0.22886303,0.26424226
12,0.8841311,0.24730061,0.2711564
13,0.8841311,0.29167998,0.20804009
14,0.8841311,0.30548465,0.1730382
15,0.8841311,0.32940236,0.19635057
16,0.8841311,0.3465604,0.1626131
17,0.8841311,0.30334005,0.19933909
18,0.8841311,0.36938486,0.17743766
19,0.8841311,0.36206576,0.17158547
20,0.8841311,0.40430424,0.17162085
21,0.8841311,0.3670393,0.21657357
22,0.8841311,0.36555395,0.18057625
23,0.8841311,0.33899114,0.26361606
24,0.8841311,0.34176645,0.22812931
25,0.8841311,0.38361484,0.20997716
26,0.8841311,0.35204098,0.29839793
27,0.8841311,0.37549525,0.19933091
28,0.8841311,0.37108907,0.2839948
29,0.8841311,0.4144164,0.23148584
30,0.8841311,0.3989657,0.20096372
31,0.8841311,0.39836377,0.2027754
32,0.8841311,0.39169446,0.25677645
33,0.8841311,0.38343468,0.24311343
34,0.8841311,0.4678655,0.16801685
35,0.8841311,0.5259768,0.1150376
36,0.8841311,0.54061544,0.09849767
37,0.8841311,0.4817287,0.1773281
38,0.8841311,0.54256475,0.10545782
39,0.8841311,0.5265004,0.12486497
40,0.8841311,0.5445021,0.116210155
41,0.8841311,0.5858074,0.114616044
42,0.8841311,0.6051099,0.08855654
43,0.8841311,0.5978946,0.093008995
44,0.8841311,0.59007406,0.1054727
45,0.8841311,0.59314936,0.1038309
46,0.8841311,0.61783063,0.08184792
47,0.8841311,0.6085422,0.082560025
48,0.8841311,0.59473646,0.0858564
49,0.8841311,0.6250331,0.07572097
50,0.8841311,0.6324099,0.068018064
51,0.8841311,0.6173993,0.091650955
52,0.8841311,0.6650555,0.04622255
53,0.8841311,0.6803869,0.04666213
54,0.8841311,0.68980837,0.047479812
55,0.8841311,0.7106383,0.03156099
56,0.8841311,0.68077874,0.06095381
57,0.8841311,0.70398366,0.03938067
58,0.8841311,0.71908027,0.023163918
59,0.8841311,0.690169,0.05368405
60,0.8841311,0.7246402,0.024252588
61,0.8841311,0.7097771,0.06526548
62,0.8841311,0.7028642,0.03568599
63,0.8841311,0.70987487,0.047993243
64,0.8841311,0.70340955,0.06955356
65,0.8841311,0.7288347,0.04356348
66,0.8841311,0.7432437,0.042292163
67,0.8841311,0.7271737,0.060769234
68,0.8841311,0.738248,0.040788304
69,0.8841311,0.7428591,0.03972286
70,0.8841311,0.74552214,0.03415598
71,0.8841311,0.7513577,0.02817662
72,0.8850323,0.73884994,0.04759858
73,0.8872242,0.7426577,0.04510042
74,0.8872242,0.7315703,0.0758991
75,0.8872242,0.7329589,0.090614714
76,0.8872242,0.74746627,0.040712334
77,0.8872242,0.75644225,0.029188603
78,0.8872242,0.7667933,0.037614547
79,0.8901172,0.7535149,0.07282154
80,0.8901172,0.7670673,0.0415841
81,0.8901172,0.76864785,0.05931083
82,0.90795374,0.7932158,0.013461838
83,0.90795374,0.7935728,0.034971826
84,0.90795374,0.77522653,0.08176912
85,0.90795374,0.8022436,0.031008562
86,0.91499126,0.8035763,0.026808765
87,0.91499126,0.80711824,0.02343486
88,0.91526836,0.76352495,0.12755369
89,0.91526836,0.8180531,0.01433834
90,0.91526836,0.81752115,0.013111403
91,0.91678244,0.8073831,0.046044838
92,0.91678244,0.8247679,0.008906758
93,0.91678244,0.8188754,0.010021314
94,0.9253293,0.8227863,0.010561617
95,0.9253293,0.82772523,0.009122823
96,0.9253293,0.8305458,0.0076657506
97,0.9253293,0.840432,0.0070567336
98,0.9253293,0.84403414,0.004616259
99,0.9253293,0.8430136,0.0043004192
100,0.93430996,0.8414637,0.0054334416
101,0.93430996,0.84263265,0.0059731617
102,0.93430996,0.8410546,0.011836359
103,0.93430996,0.84550387,0.0046392325
104,0.93430996,0.83858305,0.005101999
105,0.93430996,0.82283914,0.010221981
106,0.93430996,0.8439501,0.014996417
107,0.93430996,0.8393486,0.017486492
108,0.93430996,0.8461302,0.008172038
109,0.93430996,0.85244936,0.006933677
110,0.93430996,0.8511467,0.011771568
111,0.93430996,0.8495186,0.010298173
112,0.93430996,0.85859126,0.004545497
113,0.93430996,0.8501906,0.0076345475
114,0.93430996,0.861943,0.004447085
115,0.93430996,0.8589325,0.005153896
116,0.93430996,0.8570418,0.008131602
117,0.94054615,0.85079473,0.011056201
118,0.94054615,0.8621952,0.0066276314
119,0.94054615,0.85701346,0.0050607463
120,0.94054615,0.86220175,0.005677269
121,0.94054615,0.86660147,0.006074112
122,0.94054615,0.8652543,0.0065840683
