Generation,Maximum Fitness,Average Fitness,Variance
0,0.79573905,0.0074524838,0.33412367
1,0.79573905,0.018315539,0.39050803
2,0.79573905,0.034109086,0.27821872
3,0.79573905,0.08254572,0.23731785
4,0.79573905,0.09538514,0.20340529
5,0.79573905,0.07254345,0.28797507
6,0.79573905,0.08972093,0.22414298
7,0.79573905,0.1638142,0.22561216
8,0.79573905,0.16921082,0.23405004
9,0.79573905,0.20284423,0.18073627
10,0.79573905,0.18712798,0.15418342
11,0.79573905,0.20152205,0.17528771
12,0.79573905,0.17260626,0.26103368
13,0.79573905,0.21022162,0.24379231
14,0.79573905,0.2027759,0.19640021
15,0.79573905,0.23809871,0.17874771
16,0.79573905,0.23422295,0.15712252
17,0.79573905,0.26684526,0.16694577
18,0.82990366,0.28861547,0.21307853
19,0.82990366,0.3516968,0.15046632
20,0.82990366,0.3018665,0.14104098
21,0.8553462,0.37175214,0.19309151
22,0.8553462,0.30771586,0.2113943
23,0.8553462,0.3827268,0.17465936
24,0.8553462,0.37505051,0.1382785
25,0.8553462,0.37050653,0.11223359
26,0.8553462,0.39982536,0.12843409
27,0.8553462,0.47453463,0.099309616
28,0.8553462,0.472717,0.12756726
29,0.8553462,0.5190413,0.10253571
30,0.8553462,0.5312887,0.09381943
31,0.8553462,0.55802107,0.07005885
32,0.8553462,0.53620344,0.14580093
33,0.8553462,0.52159333,0.13005897
34,0.8553462,0.56526095,0.11212133
35,0.87554854,0.5622832,0.09626852
36,0.87554854,0.55049604,0.102483034
37,0.87554854,0.54737467,0.100334704
38,0.87554854,0.51286775,0.12164572
39,0.87554854,0.5268234,0.10066135
40,0.87554854,0.5068589,0.09219579
41,0.87554854,0.56845963,0.1069181
42,0.87554854,0.5844103,0.11063779
43,0.87554854,0.6105958,0.10639209
44,0.87554854,0.6055675,0.062218864
45,0.87554854,0.6156922,0.08746555
46,0.87554854,0.5212718,0.14397138
47,0.87554854,0.5958131,0.13492292
48,0.87554854,0.57231563,0.06547733
49,0.87554854,0.57044595,0.085816406
50,0.87554854,0.6176671,0.05461897
51,0.87554854,0.6089142,0.043497384
52,0.87554854,0.6429212,0.029176982
53,0.87554854,0.6835141,0.02679815
54,0.87554854,0.67187613,0.024040485
55,0.87554854,0.69495285,0.026518362
56,0.87554854,0.6719683,0.02435494
57,0.87554854,0.70186514,0.017843667
58,0.87554854,0.683106,0.018171461
