ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13
0,0.9032017,-0.08056003,0.6424016,-0.75668633,-0.15247941,-0.4390959,-0.7906258,-0.43475252,0.7718998,-0.19861078,0.65677834,0.35467708,0.35122418,0.4904878,0.74690783
1,0.9397363,-0.08056003,0.6424016,-0.75668633,-0.15247941,-0.4390959,-0.7906258,-0.10135138,0.7718998,-0.33334714,0.65677834,0.35467708,-0.79325813,-0.8399268,0.74690783
2,-1.357368,0.95427966,-0.009901583,-0.65809005,-0.15247941,-0.4390959,-0.7906258,-0.43475252,0.7718998,-0.33334714,0.65677834,-0.46065044,-0.79325813,-0.8399268,0.74690783
3,0.75004286,-0.08056003,-0.009901583,-0.75668633,-0.15247941,-0.4390959,-0.7906258,-0.10135138,0.7718998,0.21714616,0.65677834,0.35467708,0.10418832,0.4904878,-0.13115865
4,0.74497974,0.61415863,0.6424016,-0.75668633,-0.15247941,-0.4390959,-0.7906258,-0.10135138,0.7718998,-0.33334714,0.65677834,0.35467708,0.35122418,-0.8399268,0.74690783
5,0.40709108,0.61415863,-0.009901583,0.37919664,-0.15247941,0.46529067,-0.786422,-0.10135138,0.7718998,-0.33334714,-0.82760596,0.35467708,0.10418832,0.4904878,-0.13115865
6,0.9458031,0.61415863,-0.56536305,-0.75668633,-0.15247941,-0.4390959,-0.7906258,-0.10135138,-0.088695705,0.21714616,-0.82760596,0.35467708,0.10418832,-0.8399268,0.8841047
7,0.8608298,0.61415863,-0.56536305,-0.72985744,-0.15247941,-0.4390959,-0.7906258,-0.10135138,0.7718998,-0.33334714,-0.82760596,0.35467708,0.10418832,0.4904878,0.74690783
8,0.79298544,-0.88740605,-0.56536305,0.37919664,-0.8915546,0.46529067,-0.7906258,-0.10135138,0.7718998,0.21714616,-0.82760596,0.9286872,0.10418832,0.4904878,0.70766485
9,0.49933523,-0.88740605,-0.56536305,0.37919664,-0.15247941,-0.4390959,-0.7906258,-0.10135138,-0.088695705,0.21714616,-0.82760596,0.35467708,0.10418832,0.4904878,0.8841047
10,0.8082711,-0.88740605,0.49922037,0.37919664,-0.8915546,0.46529067,-0.26176316,-0.10135138,-0.088695705,0.21714616,-0.82760596,0.9286872,0.10418832,0.4904878,0.8841047
11,0.83879757,-0.032197595,-0.56536305,0.37919664,-0.8915546,-0.4390959,0.14398229,-0.10135138,-0.088695705,-0.33334714,-0.82760596,0.35467708,0.10418832,0.4904878,0.8841047
12,0.60586727,-0.88740605,0.49922037,0.37919664,-0.8915546,0.46529067,-0.7906258,-0.10135138,0.23180246,0.89278674,-0.82760596,0.8896375,0.10418832,0.4904878,0.70766485
13,0.72942424,-0.88740605,-0.56536305,-0.7081911,-0.8915546,0.46529067,0.14398229,-0.10135138,0.20444226,0.21714616,-0.82760596,0.9286872,0.3651607,0.4904878,0.8841047
14,0.9478666,-0.88740605,-0.56536305,0.37919664,-0.8915546,-0.59528685,-0.26176316,-0.10135138,-0.088695705,0.21714616,-0.82760596,0.9286872,0.10418832,0.4904878,0.8841047
15,0.75579137,-0.88740605,-0.56536305,-0.75668633,0.24378777,0.61280966,-0.26176316,-0.10135138,0.20444226,0.21714616,-0.82760596,0.8896375,0.10418832,0.9900708,0.8841047
16,0.9355458,-0.88740605,-0.56536305,0.37919664,-0.8915546,0.46529067,0.14398229,-0.10135138,-0.088695705,0.89278674,0.077997565,0.8896375,0.10418832,0.9900708,0.873868
17,0.93877673,-0.88740605,-0.56536305,-0.7081911,0.24378777,-0.59528685,-0.26176316,-0.6304868,-0.088695705,0.89278674,-0.82760596,0.8896375,0.10418832,0.9900708,0.8841047
18,0.882009,-0.88740605,-0.56536305,-0.7081911,-0.8915546,-0.59528685,0.711817,-0.10135138,0.23180246,0.89278674,-0.82760596,0.8896375,0.3651607,-0.61769164,0.873868
19,-0.03821063,-0.67607474,0.49922037,-0.7081911,0.24378777,-0.59528685,-0.26176316,-0.10135138,0.20444226,0.89278674,-0.82760596,-0.6469932,0.10418832,0.9900708,0.873868
20,0.6892069,-0.88740605,0.42855084,-0.7081911,-0.8915546,0.61280966,-0.26176316,-0.6304868,0.20444226,0.89278674,0.077997565,-0.6469932,0.7628875,0.9900708,0.48260033
21,0.8666619,-0.88740605,-0.56536305,-0.7081911,-0.80005455,-0.59528685,-0.26176316,-0.6347128,0.23180246,0.89278674,-0.82760596,0.8896375,0.3651607,-0.61769164,0.873868
22,0.7663552,-0.88740605,0.42855084,0.27472258,-0.80005455,0.61280966,-0.26176316,-0.6347128,0.23180246,0.27661443,-0.46613932,0.8896375,0.7628875,0.9900708,0.873868
23,0.8505446,-0.88740605,0.49922037,-0.7081911,-0.80005455,-0.59528685,-0.26176316,-0.6347128,0.23180246,0.89278674,0.077997565,0.8896375,0.3651607,-0.61769164,0.873868
24,0.94349205,-0.88740605,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.89278674,0.077997565,0.8896375,0.3651607,-0.61769164,0.873868
25,0.8977071,-0.88740605,0.42855084,0.27472258,-0.80005455,-0.59528685,0.711817,-0.6347128,0.20444226,0.27661443,-0.46613932,0.8896375,0.3651607,-0.61769164,0.873868
26,0.82230854,-0.88740605,0.42855084,0.27472258,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.27661443,-0.93364465,0.8896375,0.3651607,-0.61769164,0.873868
27,0.7770129,-0.88740605,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.20444226,0.89278674,0.077997565,0.8896375,0.7628875,-0.61769164,0.873868
28,0.81971174,-0.88740605,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.20444226,0.89278674,-0.46613932,0.8896375,0.3651607,-0.61769164,0.873868
29,0.9436211,-0.23118818,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.89278674,-0.93364465,0.8896375,0.3651607,0.9900708,0.873868
30,0.9402153,-0.88740605,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.27661443,-0.93364465,0.8896375,0.3651607,0.9900708,0.873868
31,0.9441823,-0.67607474,0.42855084,0.27472258,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.89278674,-0.46613932,0.8896375,0.3651607,-0.61769164,0.873868
32,0.8674846,-0.67607474,0.42855084,0.27472258,-0.80005455,-0.59528685,-0.42993724,-0.6347128,-0.28223807,0.27661443,-0.46613932,0.8896375,0.3651607,0.9900708,0.873868
33,0.7248367,-0.67607474,0.42855084,0.27472258,-0.80005455,0.67404175,0.711817,0.087994695,-0.28223807,0.89278674,-0.93364465,0.8896375,0.3651607,-0.61769164,0.873868
34,0.93467814,-0.67607474,0.42855084,-0.7081911,-0.80005455,-0.59528685,0.711817,-0.6347128,0.23180246,0.27661443,-0.93364465,0.8896375,-0.12480593,-0.61769164,0.873868
35,0.88724464,-0.23118818,0.42855084,0.27472258,-0.23431295,-0.59528685,0.711817,0.087994695,-0.28223807,0.27661443,-0.93364465,0.8896375,0.3651607,0.9900708,0.873868
36,0.90045244,-0.67607474,0.84299076,0.27472258,-0.23431295,0.67404175,0.711817,0.087994695,0.23180246,0.27661443,-0.93364465,0.8896375,-0.12480593,-0.61769164,0.8935199
37,0.8276547,-0.67607474,-0.3118416,-0.7081911,-0.23431295,0.67404175,0.711817,0.087994695,0.23180246,0.27661443,-0.46613932,0.8896375,0.3651607,0.7527529,0.873868
38,0.1595568,-0.23118818,0.84299076,-0.69977534,-0.80005455,0.67404175,-0.42993724,0.18679738,-0.28223807,0.27661443,-0.93364465,0.49014652,-0.12480593,-0.61769164,0.8935199
39,0.8937038,-0.67607474,0.84299076,-0.69977534,-0.23431295,0.67404175,0.711817,0.087994695,-0.28223807,0.27661443,-0.93364465,0.49014652,-0.12480593,-0.61769164,0.8935199
40,0.8265883,-0.23118818,0.84299076,-0.8166003,-0.23431295,0.67404175,-0.42993724,0.087994695,0.23180246,0.27661443,-0.93364465,0.49014652,0.3651607,0.7527529,0.73881793
41,0.86181104,-0.23118818,-0.3118416,-0.8166003,-0.23431295,0.67404175,0.41615295,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.7478148,0.7527529,0.8935199
42,0.9418397,-0.23118818,-0.3118416,-0.8166003,-0.23431295,0.67404175,0.1941055,0.18679738,-0.28223807,0.27661443,-0.93364465,0.49014652,0.7478148,0.7527529,0.8935199
43,0.9425084,-0.23118818,0.35015953,-0.8166003,-0.23431295,0.04889381,0.41615295,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.90028477,0.7527529,0.8935199
44,0.93941414,-0.23118818,0.35015953,-0.8166003,-0.23431295,0.04889381,0.1941055,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.90028477,0.7527529,0.8935199
45,0.7458204,-0.23118818,0.84299076,-0.69977534,-0.23431295,0.04889381,0.1941055,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,-0.12480593,0.7527529,0.8935199
46,0.825356,-0.23118818,0.35015953,-0.8166003,-0.23431295,0.04889381,0.41615295,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.7478148,0.7527529,0.8935199
47,0.858408,-0.23118818,0.35015953,-0.8166003,-0.23431295,0.04889381,0.41615295,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.7478148,-0.61769164,0.8935199
48,0.8302755,-0.23118818,0.35015953,-0.69977534,-0.23431295,0.04889381,0.1941055,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.90028477,0.7527529,0.8935199
49,0.21007693,-0.23118818,0.35015953,0.6523522,0.6911411,0.04889381,0.41615295,0.18679738,0.46384597,0.71238875,-0.93364465,-0.36214912,-0.12480593,0.7668719,0.8935199
50,0.78219056,-0.23118818,0.84299076,-0.8166003,-0.23431295,0.04889381,0.1941055,0.18679738,0.46384597,0.71238875,-0.93364465,-0.36214912,0.90028477,0.7668719,-0.3482464
51,0.7745086,-0.23118818,0.35015953,0.6523522,0.6911411,0.04889381,0.1941055,0.18679738,-0.28223807,0.71238875,-0.93364465,0.49014652,0.90028477,0.7668719,0.8935199
52,0.68539584,-0.060340524,0.7587503,0.6523522,0.6911411,-0.6406055,0.1941055,0.18679738,0.46384597,0.71238875,0.7382566,0.49014652,0.90028477,0.7527529,0.8935199
53,0.9410328,-0.4984283,0.7587503,0.6523522,0.6911411,0.74670863,0.1941055,0.18679738,0.46384597,0.0040950775,0.7382566,-0.36214912,0.90028477,0.7668719,-0.3482464
54,0.8617136,-0.23118818,0.35015953,0.6523522,0.6911411,0.04889381,0.1941055,-0.51419234,0.46384597,-0.97517914,-0.72504514,0.49014652,0.90028477,0.7668719,0.8935199
55,0.9445366,-0.23118818,0.35015953,-0.8166003,0.6911411,0.74670863,0.1941055,-0.51419234,-0.28223807,-0.97517914,0.7382566,0.49014652,0.90028477,0.7527529,0.8935199
56,0.80666614,-0.060340524,0.35015953,-0.8166003,0.6911411,-0.6406055,0.1941055,-0.51419234,0.46384597,-0.97517914,-0.72504514,0.49014652,0.90028477,0.7668719,0.8935199
57,-0.11197984,-0.060340524,0.01331532,-0.19271189,0.6911411,-0.6406055,0.9746654,0.18679738,0.46384597,-0.97517914,0.7382566,0.6919291,0.7478148,0.7668719,-0.5613359
58,0.8080852,-0.060340524,0.35015953,0.6523522,0.6911411,-0.6406055,0.9746654,0.18679738,0.46384597,-0.97517914,-0.72504514,0.6919291,0.35162616,0.7668719,0.5859834
59,0.6225567,-0.060340524,0.01331532,-0.19271189,0.6911411,-0.6406055,-0.9938897,-0.51419234,-0.9260073,-0.97517914,-0.72504514,0.6919291,0.7478148,0.7668719,0.8935199
60,0.89022005,-0.060340524,0.01331532,0.6523522,0.50665593,-0.6406055,0.9746654,-0.51419234,0.46384597,-0.97517914,-0.72504514,0.49014652,0.7478148,0.7668719,0.8935199
61,0.9419655,-0.060340524,0.01331532,-0.19271189,0.50665593,-0.6406055,-0.9938897,-0.51419234,-0.9260073,-0.97517914,-0.72504514,0.6919291,0.35162616,0.5952836,-0.5613359
62,0.70902336,-0.060340524,0.01331532,-0.19271189,0.50665593,-0.6406055,0.9746654,-0.51419234,-0.5887986,-0.97517914,-0.72504514,0.7193513,0.7478148,0.5952836,0.5859834
