ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13
0,0.7509724,-0.8317997,0.9952241,-0.041702867,0.8410648,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.9422064,-0.2874636,0.9887711,-0.8291499,-0.68294346,0.80033326
1,0.9170433,-0.7870177,-0.9241803,-0.041702867,0.8410648,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.3161081,-0.2874636,0.9887711,-0.8291499,-0.7344298,0.80033326
2,0.9294915,-0.7870177,-0.88122356,-0.041702867,0.8410648,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.3161081,-0.2874636,0.9887711,-0.8291499,-0.68294346,0.80033326
3,0.42812926,-0.7870177,0.9952241,-0.041702867,0.8410648,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.3161081,-0.2874636,0.9887711,0.6528853,-0.68294346,0.80033326
4,0.76431954,-0.7870177,-0.9241803,-0.041702867,-0.3773505,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.3161081,-0.2874636,0.9887711,0.6528853,-0.3440792,0.80033326
5,0.75295234,-0.7870177,-0.9241803,-0.041702867,0.037076354,-0.6496472,-0.06877208,-0.9197059,-0.1965378,0.3161081,-0.2874636,0.9887711,0.6528853,-0.68294346,0.80033326
6,0.7518181,-0.7870177,-0.9241803,-0.041702867,0.8410648,-0.6496472,-0.06877208,-0.72190297,-0.1965378,0.9422064,-0.2874636,0.9887711,-0.8291499,-0.3440792,0.80033326
7,0.8984178,-0.7870177,-0.9241803,-0.34337276,0.8410648,-0.85079366,-0.06877208,-0.72190297,0.023338914,0.3161081,-0.2874636,0.9887711,0.6528853,-0.3440792,0.80033326
8,0.7901247,-0.7870177,-0.9241803,-0.041702867,-0.3773505,-0.85079366,-0.06877208,-0.72190297,-0.1965378,0.9422064,-0.2874636,0.9887711,0.6528853,-0.14698648,0.80033326
9,0.91965103,-0.7870177,-0.9241803,-0.34337276,0.8410648,-0.6496472,-0.06877208,-0.8789687,-0.1965378,0.9422064,0.7813443,0.9887711,0.6528853,-0.3440792,0.80033326
10,0.75683737,-0.25477093,-0.9241803,-0.041702867,0.037076354,-0.85079366,-0.06877208,-0.9197059,-0.1965378,0.9422064,-0.2874636,0.9887711,0.6528853,-0.7344298,0.80033326
11,0.9273083,-0.25477093,-0.9241803,-0.34337276,-0.3773505,-0.7967796,-0.06877208,-0.8789687,-0.1965378,0.9422064,-0.2874636,0.90005183,0.6528853,-0.14698648,0.80033326
12,0.7560998,-0.25477093,-0.9241803,-0.34337276,0.037076354,-0.85079366,-0.06877208,-0.8789687,-0.1965378,0.3161081,-0.2874636,0.90005183,0.6528853,-0.14698648,0.80033326
13,0.76621974,-0.25477093,-0.9241803,-0.34337276,-0.3773505,-0.7967796,-0.06877208,-0.8789687,-0.1965378,0.3161081,0.7813443,0.90005183,-0.8291499,-0.14698648,0.80033326
14,0.76806015,-0.25477093,-0.9241803,-0.041702867,0.037076354,-0.85079366,-0.04524088,-0.8789687,-0.1965378,0.9422064,0.7813443,0.9887711,0.6528853,-0.14698648,0.80033326
15,0.9333547,-0.7870177,-0.9241803,-0.041702867,0.8410648,-0.7967796,-0.04524088,-0.8789687,-0.1965378,0.3161081,-0.2874636,0.9887711,-0.8291499,-0.14698648,0.80033326
16,0.8957854,-0.25477093,-0.9241803,-0.34337276,-0.3773505,-0.7967796,-0.06877208,-0.8789687,-0.92234915,0.9422064,-0.2874636,0.6468731,-0.8291499,-0.14698648,0.80033326
17,0.46863353,-0.25477093,-0.9241803,0.57135713,0.037076354,-0.6925154,-0.06877208,-0.9197059,-0.92234915,0.3161081,0.7813443,0.9887711,-0.8291499,-0.14698648,0.80033326
18,0.8192464,-0.25477093,0.51337564,0.57135713,0.037076354,-0.6925154,-0.04524088,-0.8789687,-0.1965378,0.9422064,0.7813443,0.88276565,-0.8291499,-0.14698648,0.3253441
19,0.47047997,-0.7870177,0.51337564,-0.34337276,0.037076354,-0.7967796,-0.04524088,-0.3419025,-0.5354918,-0.6436259,-0.2874636,0.90005183,-0.8291499,-0.14698648,0.3253441
20,0.9421851,-0.25477093,0.51337564,0.57135713,0.037076354,-0.6925154,-0.04524088,-0.9197059,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,-0.14698648,0.3253441
21,0.38417262,-0.7870177,0.51337564,-0.014965236,0.037076354,-0.6925154,-0.04524088,-0.8789687,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,0.50668955,0.3253441
22,0.8809769,-0.7870177,0.51337564,-0.34337276,0.037076354,-0.6925154,-0.04524088,-0.9197059,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,-0.14698648,0.3253441
23,0.43215942,-0.25477093,-0.7656592,-0.014965236,0.037076354,0.8447956,-0.04524088,-0.8789687,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,0.6673422,0.3253441
24,0.75934845,-0.7870177,0.51337564,-0.014965236,0.037076354,0.9526093,-0.04524088,-0.8789687,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,0.50668955,0.52569604
25,0.044612348,-0.9391721,0.51337564,0.57135713,0.037076354,-0.6925154,-0.04524088,-0.9197059,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,-0.14698648,0.3253441
26,0.45929545,0.9514786,-0.7656592,0.89548254,0.037076354,0.8447956,-0.2545972,-0.8789687,-0.92234915,-0.6436259,0.7813443,0.6468731,-0.8291499,0.50668955,0.3253441
