ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13
0,0.9321921,0.6227969,-0.26236862,-0.5171169,-0.5403273,-0.14608783,-0.42060977,-0.54908955,0.20649219,-0.7505644,0.10257256,0.5360254,-0.5990408,-0.7651469,0.98822093
1,0.90320575,0.6227969,-0.09863216,-0.6067847,-0.5403273,-0.14608783,-0.42060977,-0.54908955,0.20649219,-0.43101752,0.10257256,0.5360254,-0.5990408,-0.88732916,0.98822093
2,0.9355869,0.6227969,-0.26236862,-0.5171169,-0.5403273,-0.14608783,-0.42060977,-0.54908955,0.20649219,-0.7505644,0.10257256,0.5360254,-0.5990408,-0.88732916,0.98822093
3,0.8556844,0.6227969,-0.26236862,-0.6067847,-0.5403273,-0.14608783,-0.42060977,-0.33700776,0.20649219,-0.7505644,0.10257256,0.4796195,-0.45764834,-0.88732916,0.98822093
4,0.92813826,0.06186807,-0.26236862,-0.6067847,-0.5403273,-0.14608783,-0.42060977,-0.33700776,0.20649219,-0.43101752,0.10257256,0.5360254,-0.5990408,-0.74281776,0.98822093
5,0.85238236,0.6227969,0.15728557,-0.6067847,-0.5403273,-0.14608783,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.72286344,0.4796195,-0.5990408,-0.7651469,0.98822093
6,0.9105251,0.6227969,-0.09863216,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.10257256,0.5360254,-0.5990408,-0.74281776,0.98822093
7,0.8890815,0.6227969,-0.09863216,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.10257256,0.5360254,-0.5990408,0.8916104,0.98822093
8,0.9214466,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,-0.45764834,-0.74281776,0.98822093
9,0.9239936,0.06186807,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,-0.07261461,-0.0706197,0.10257256,0.5360254,-0.5990408,-0.74281776,0.98822093
10,0.9447467,0.06186807,0.93632865,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,-0.07261461,-0.0706197,0.10257256,0.4796195,-0.45764834,-0.74281776,0.98822093
11,0.9229959,0.06186807,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.5360254,-0.45764834,-0.74281776,0.98822093
12,0.9011928,0.06186807,0.93632865,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.72286344,0.4796195,-0.45764834,-0.74281776,0.98822093
13,0.9192269,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,-0.07261461,-0.0706197,0.10257256,0.4796195,-0.5990408,-0.74281776,0.98822093
14,0.92512417,0.6227969,0.93632865,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.10257256,0.4796195,-0.45764834,-0.74281776,0.98822093
15,0.91854686,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.10257256,0.4796195,-0.5990408,-0.74281776,0.98822093
16,0.9024985,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,0.893669,-0.74281776,0.98822093
17,0.83465284,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,-0.42060977,-0.33700776,0.20649219,-0.0706197,0.10257256,0.4796195,-0.5990408,-0.74281776,0.98822093
18,0.7839762,0.6227969,0.15728557,0.07503414,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,0.893669,-0.74281776,0.98822093
19,0.9171878,0.6227969,0.15728557,-0.6067847,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,-0.5990408,-0.74281776,0.98822093
20,0.93512475,0.6227969,0.15728557,0.07503414,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,0.893669,-0.74281776,0.9546658
21,0.7473203,0.06186807,0.15728557,-0.6067847,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.96489906,0.893669,-0.74281776,0.9546658
22,0.8903571,0.06186807,0.15728557,0.07503414,-0.3263963,-0.22404754,0.12240982,-0.33700776,-0.07261461,-0.0706197,0.72286344,0.4796195,0.893669,-0.74281776,0.9546658
23,0.8242501,0.06186807,0.15728557,-0.29850376,-0.88585585,-0.22404754,0.45896995,-0.73205596,-0.07261461,-0.0706197,0.72286344,0.96489906,-0.5710556,-0.74281776,0.9546658
24,0.85680616,0.06186807,0.15728557,-0.29850376,-0.3263963,-0.22404754,0.12240982,-0.73205596,-0.07261461,-0.0706197,0.72286344,0.4796195,0.893669,-0.74281776,0.9546658
25,0.80338526,0.3037696,0.15728557,-0.29850376,-0.3263963,0.30721962,0.45896995,-0.73205596,-0.07261461,-0.0706197,0.72286344,0.96489906,-0.5710556,-0.74281776,0.9546658
26,0.9309823,0.06186807,0.15728557,-0.29850376,-0.88585585,-0.26701826,0.45896995,-0.73205596,-0.07261461,-0.0706197,0.72286344,0.96489906,0.893669,-0.74281776,0.9546658
27,0.9284536,0.06186807,0.15728557,-0.29850376,-0.88585585,-0.7783834,0.45896995,-0.73205596,-0.8646915,-0.0706197,0.72286344,0.96489906,-0.5710556,-0.74281776,0.9546658
28,0.874221,0.3037696,0.15728557,-0.29850376,-0.88585585,-0.7783834,0.45896995,-0.73205596,-0.8646915,-0.0706197,0.72286344,0.96489906,0.893669,-0.74281776,0.9546658
29,0.85333264,0.06186807,0.15728557,-0.29850376,-0.88585585,-0.7783834,0.45896995,-0.73205596,-0.8646915,-0.0706197,0.72286344,0.96489906,-0.5710556,-0.74281776,0.9546658
