ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13
0,0.78784335,0.9440267,0.16845262,-0.6425322,-0.24234372,-0.916671,0.3136896,-0.29970765,-0.20986056,-0.58744735,0.13847244,0.87118626,0.673175,-0.8188595,0.92640483
1,0.6865916,-0.009684086,0.16845262,-0.6425322,0.2289877,-0.89711636,0.3136896,0.08378649,-0.86882013,-0.58744735,-0.87973875,0.87118626,0.82608545,0.31763732,-0.5703884
2,0.94539547,-0.33200598,0.16845262,-0.6425322,-0.24234372,-0.89711636,0.3136896,0.53688586,-0.86882013,-0.58744735,-0.87973875,0.87118626,-0.6775104,-0.8188595,-0.5703884
3,0.7285945,-0.33200598,0.16845262,-0.6425322,-0.24234372,-0.89711636,0.27551115,0.08378649,0.108664274,-0.58744735,-0.87973875,0.87118626,0.82608545,-0.8188595,0.92640483
4,0.45916033,-0.33200598,0.16845262,-0.6425322,-0.24234372,-0.89711636,0.3136896,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
5,0.9255793,-0.009684086,0.81135714,-0.6425322,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.58744735,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
6,0.7665012,-0.009684086,0.16845262,-0.39678746,0.2289877,0.25074935,0.27551115,-0.29970765,-0.86882013,-0.58744735,0.13847244,0.87118626,0.673175,-0.8188595,0.92640483
7,0.7813104,-0.009684086,0.81135714,-0.39678746,0.2289877,-0.89711636,0.3136896,-0.29970765,-0.86882013,-0.6705415,-0.87973875,0.87118626,-0.6812313,-0.8188595,0.92640483
8,0.9388114,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
9,0.9339832,-0.009684086,0.81135714,-0.52555156,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.82608545,-0.8188595,0.92640483
10,0.9375224,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
11,0.942254,-0.009684086,0.81135714,-0.52555156,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
12,0.93820375,-0.009684086,0.81135714,-0.52555156,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.82608545,-0.8188595,0.92640483
13,0.93775403,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
14,0.93605816,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.39105213,-0.6705415,0.13847244,0.12778246,0.82608545,-0.8188595,0.92640483
15,0.88716286,-0.009684086,0.81135714,-0.39678746,0.6035713,0.25074935,0.27551115,0.8355093,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
16,0.89632434,-0.009684086,0.81135714,-0.39678746,0.2289877,-0.09337467,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
17,0.9367865,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.8188595,0.92640483
18,0.9333947,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.5178956,0.6201662
19,0.9216384,-0.009684086,0.81135714,-0.52555156,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,0.8780136,0.13847244,0.12778246,0.673175,0.017223239,0.92640483
20,0.9470529,-0.009684086,0.81135714,-0.39678746,0.6035713,-0.09337467,-0.46654975,0.8355093,0.39105213,-0.6705415,-0.4153344,0.12778246,0.673175,0.017223239,0.6201662
21,0.9238871,-0.009684086,0.81135714,-0.52555156,0.2289877,0.25074935,0.27551115,0.8355093,0.108664274,0.8780136,-0.4153344,0.12778246,0.673175,0.017223239,0.92640483
22,0.92010283,-0.009684086,0.81135714,-0.39678746,0.2289877,0.25074935,0.27551115,0.08378649,0.108664274,-0.6705415,0.13847244,0.12778246,0.673175,-0.5178956,0.92640483
23,0.911553,-0.009684086,0.81135714,-0.39678746,0.2289877,0.094934225,0.27551115,0.8355093,0.108664274,0.8780136,-0.4153344,0.12778246,0.673175,-0.5178956,0.92640483
24,0.9110863,-0.009684086,0.81135714,-0.39678746,0.2289877,0.094934225,0.27551115,0.8355093,0.39105213,-0.6705415,-0.78576773,0.12778246,0.673175,-0.5178956,0.92640483
25,0.9263073,-0.009684086,0.81135714,-0.52555156,0.2289877,0.094934225,0.27551115,0.92552805,0.39105213,0.8780136,-0.78576773,0.12778246,0.673175,0.51158273,0.66026163
26,0.8905741,0.2627648,-0.8080626,-0.39678746,0.2289877,0.25074935,0.27551115,0.92552805,0.108664274,0.8780136,0.013214827,0.12778246,0.673175,0.51158273,0.91129434
27,0.9059699,0.2627648,-0.8080626,-0.39678746,0.2289877,0.094934225,0.27551115,0.08378649,0.108664274,0.8780136,-0.78576773,0.12778246,0.673175,0.51158273,0.66026163
28,0.8959906,-0.009684086,-0.8080626,-0.52555156,0.6441233,0.094934225,0.27551115,0.08378649,0.80826056,-0.6705415,-0.78576773,0.12778246,0.673175,-0.5178956,0.91129434
29,0.9392784,0.2627648,-0.8080626,-0.39678746,0.2289877,0.094934225,0.27551115,0.92552805,0.80826056,0.8780136,-0.78576773,0.12778246,0.673175,0.51158273,0.91129434
30,0.9103931,0.2627648,0.81135714,-0.52555156,0.2289877,0.094934225,0.27551115,0.92552805,0.108664274,0.8780136,0.013214827,0.12778246,0.37050283,0.51158273,0.91129434
31,0.95179015,0.2627648,-0.8080626,0.8839996,0.6441233,0.094934225,-0.9669427,0.92552805,0.80826056,0.8780136,-0.78576773,0.50430334,0.37050283,0.51158273,0.66026163
32,0.7309032,0.2627648,0.81135714,-0.01919812,0.6441233,0.094934225,0.27551115,0.92552805,0.108664274,-0.6705415,0.13847244,0.50430334,0.673175,0.51158273,0.91129434
33,0.8564129,0.2627648,0.81135714,-0.52555156,0.2289877,0.094934225,0.27551115,-0.20920467,0.108664274,-0.6705415,0.013214827,0.12778246,0.37050283,0.51158273,0.66026163
34,0.7290107,0.2627648,0.6948141,0.8839996,0.6441233,0.094934225,-0.23306382,0.92552805,0.108664274,0.8780136,-0.78576773,0.50430334,0.37050283,0.51158273,0.91129434
35,0.43593997,0.2627648,-0.8080626,0.8839996,0.6441233,-0.18638593,-0.4553147,0.92552805,0.108664274,0.8780136,0.013214827,0.50430334,0.8167796,0.51158273,0.91129434
36,0.81753963,0.2627648,0.81135714,-0.01919812,0.6441233,0.094934225,-0.23306382,-0.20920467,0.92412245,-0.6705415,0.013214827,0.50430334,0.8268385,0.51158273,0.91129434
37,0.8929833,0.2627648,-0.8080626,-0.39678746,0.6441233,0.094934225,-0.23306382,-0.20920467,0.108664274,-0.6705415,0.013214827,0.81281817,0.8167796,0.51158273,0.91129434
38,0.8112017,0.2627648,0.6948141,-0.01919812,0.6441233,-0.18638593,-0.4553147,-0.20920467,0.92412245,0.027426004,-0.78576773,0.50430334,0.8167796,0.51158273,0.91129434
39,0.93712485,0.2627648,-0.8080626,-0.39678746,0.6441233,0.094934225,-0.4553147,-0.20920467,0.80826056,-0.6705415,-0.9903252,0.50430334,0.8268385,0.51158273,0.91129434
40,0.9261164,0.2627648,0.6948141,-0.01919812,0.6441233,0.094934225,-0.23306382,-0.20920467,0.16517735,0.027426004,-0.9903252,0.50430334,0.8167796,0.51158273,0.91129434
41,0.7700037,0.6413926,0.6948141,0.039741874,0.69227314,0.094934225,-0.4553147,-0.20920467,0.80826056,0.027426004,-0.9903252,0.81281817,0.8268385,0.51158273,0.91129434
42,0.7726788,0.6413926,0.6948141,-0.01919812,0.6441233,-0.18638593,-0.4553147,-0.20920467,0.7407137,0.027426004,-0.9903252,0.81281817,0.8268385,0.51158273,0.91129434
43,0.8638629,0.6413926,0.6948141,-0.01919812,0.6441233,-0.18638593,-0.4553147,-0.7381296,0.16517735,0.027426004,-0.78576773,0.81281817,0.8167796,-0.69157577,0.91129434
44,0.83341384,0.6413926,0.6948141,-0.01919812,0.69227314,0.094934225,-0.4553147,-0.7381296,0.7407137,-0.6705415,-0.9903252,0.50430334,0.8167796,-0.69157577,0.95733535
45,0.7900612,0.6413926,-0.19286186,0.039741874,0.69227314,-0.18638593,-0.23306382,-0.7381296,0.7407137,0.027426004,-0.9903252,0.81281817,0.8167796,-0.69157577,0.91129434
46,0.9214854,0.6413926,-0.19286186,0.039741874,0.6441233,0.094934225,-0.4553147,-0.7381296,0.7407137,0.027426004,-0.78576773,0.81281817,0.8167796,0.55335104,0.95733535
47,0.8110013,0.6413926,-0.312077,0.039741874,0.6441233,-0.18638593,-0.4553147,-0.7381296,0.7407137,0.027426004,-0.78576773,0.81281817,0.8167796,0.62554765,0.91129434
48,0.9390507,0.6413926,-0.312077,0.039741874,0.69227314,-0.18638593,-0.23306382,-0.7381296,0.16517735,0.027426004,-0.9903252,0.81281817,0.8167796,0.62554765,0.95733535
49,0.6067221,-0.6851404,-0.19286186,0.039741874,0.69227314,-0.18638593,-0.4553147,-0.7381296,0.7407137,-0.6705415,0.28904366,0.50430334,0.8167796,0.55335104,0.95733535
50,0.85389364,-0.6851404,-0.312077,0.039741874,0.69227314,0.626518,-0.23306382,-0.7381296,0.7407137,-0.4140033,-0.78576773,0.81281817,0.8167796,0.55335104,0.95733535
51,0.8066267,0.33642888,-0.19286186,0.039741874,0.69227314,0.626518,-0.4553147,-0.7381296,0.7407137,-0.4140033,-0.78576773,0.81281817,0.8167796,0.62554765,0.95733535
52,0.8299712,0.6413926,-0.19286186,0.039741874,0.69227314,0.626518,-0.4553147,-0.7381296,0.16517735,-0.4140033,-0.78576773,0.81281817,0.8167796,0.62554765,0.95733535
53,0.81414855,0.6413926,-0.312077,0.039741874,0.79645205,-0.18638593,-0.4553147,0.6027869,0.10655451,-0.4140033,-0.78576773,0.81281817,0.8167796,0.55335104,0.95733535
54,0.79799,-0.6851404,-0.19286186,-0.61548746,-0.43795973,0.626518,-0.23306382,-0.7381296,0.7407137,-0.4140033,-0.78576773,0.81281817,0.8167796,0.55335104,0.95733535
