ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13
0,0.9335669,0.7451463,0.22383296,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.64128864,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
1,0.9346836,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
2,0.9372376,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
3,0.9352443,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
4,0.9361868,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
5,0.9344342,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
6,0.9304482,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.71205807,0.037541747,0.17529285,-0.8610818,0.22800708,0.28536832,-0.9878755,0.978654
7,0.9336437,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
8,0.9392927,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
9,0.9343144,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
10,0.9353625,0.8729124,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
11,0.93683946,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,-0.038109124,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
12,0.9352629,0.8729124,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
13,0.9371028,0.8729124,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
14,0.934523,0.7451463,0.22383296,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.08339542,0.22800708,-0.8792585,-0.9878755,0.978654
15,0.9293762,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.71205807,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
16,0.9354993,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,-0.038109124,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
17,0.9242123,0.8729124,0.22383296,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,0.037541747,0.17529285,-0.8610818,0.18205321,-0.8792585,-0.9878755,0.978654
18,0.9327723,0.7451463,0.22383296,-0.7462902,0.16643643,-0.14718527,0.17548728,0.71205807,0.037541747,0.17529285,-0.8610818,0.22800708,-0.8792585,-0.9878755,0.978654
19,0.91987896,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,-0.048386097,-0.038109124,-0.8610818,0.18205321,-0.8792585,-0.19021857,0.978654
20,0.9118774,0.7451463,0.8435153,-0.7462902,0.16643643,-0.14718527,0.17548728,0.71205807,-0.048386097,0.17529285,-0.8610818,0.18205321,-0.8792585,-0.19021857,0.978654
21,0.9304845,0.7451463,0.22383296,-0.7462902,0.16643643,-0.14718527,0.17548728,0.59117997,-0.048386097,-0.038109124,-0.8610818,0.22800708,-0.8792585,-0.19021857,0.978654
22,0.863456,0.8729124,0.22383296,-0.7462902,0.16643643,-0.14718527,-0.28594053,0.59117997,-0.21158719,-0.038109124,-0.8610818,0.22800708,-0.8792585,-0.19021857,0.978654
23,0.76981574,-0.8818468,0.39593375,-0.15757859,0.16643643,-0.14718527,-0.28594053,0.59117997,-0.048386097,0.17529285,-0.564885,0.5521797,-0.8792585,-0.19021857,0.7994194
24,0.73883307,-0.8818468,0.8435153,-0.15757859,0.16643643,-0.14718527,-0.28594053,0.59117997,-0.048386097,0.17529285,-0.564885,0.18205321,-0.6246845,-0.19021857,0.78722405
25,0.8450449,0.7451463,0.39593375,-0.15757859,-0.4706533,-0.4785276,-0.28594053,0.71205807,-0.21158719,0.17529285,-0.564885,0.5521797,-0.6246845,-0.15194708,0.7994194
