ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.7959951,0.46935558,0.11490166,-0.5344285,0.17481482,0.7522836,0.5335368,-0.080515265,-0.011664093,0.5447408,-0.9612336,0.03534293,0.048003793,0.11726117,0.99560845,0.27268648,-0.8830465,-0.58297396,0.7014468,-0.9117495,0.61178124,-0.096321225,-0.9391887,0.99068666,0.42196786,-0.5176766,0.8471614,-0.0073111057
1,0.7635879,0.46935558,0.11490166,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,-0.011664093,0.5447408,-0.9612336,0.20991755,0.048003793,0.11726117,0.99560845,0.27268648,0.110262275,-0.58297396,0.7014468,-0.9117495,0.61178124,-0.6586087,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,-0.0073111057
2,0.8894907,0.46935558,-0.60835254,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,-0.011664093,0.5447408,-0.9612336,0.20991755,0.048003793,0.11726117,0.99560845,0.27268648,0.110262275,-0.58297396,0.7014468,-0.9117495,0.61178124,-0.62623763,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,-0.9760426
3,0.6569909,0.46935558,0.11490166,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,-0.011664093,0.3347366,-0.9612336,0.59476745,-0.43996644,0.11726117,0.99560845,0.27268648,0.9149978,-0.58297396,0.7014468,-0.2227391,0.92786336,-0.096321225,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,0.93618524
4,0.7658011,0.46935558,0.11490166,-0.5344285,0.17481482,0.7522836,0.7109171,0.2178855,-0.011664093,0.5447408,-0.9612336,0.20991755,0.048003793,0.11726117,0.99560845,0.27268648,0.9149978,-0.58297396,0.7014468,-0.9117495,0.92786336,-0.096321225,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,-0.9760426
5,0.8602855,0.46935558,-0.60835254,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,0.29476953,0.5447408,-0.9612336,0.20991755,-0.43996644,0.11726117,0.99560845,0.27268648,0.110262275,-0.58297396,0.7014468,-0.9117495,0.61178124,-0.62623763,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,-0.9760426
6,0.7752467,0.46935558,-0.60835254,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,-0.011664093,0.3347366,-0.9612336,0.20991755,0.048003793,0.11726117,0.99560845,0.6944221,0.110262275,-0.58297396,0.7014468,-0.9117495,0.92786336,-0.62623763,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,-0.9760426
7,0.8332509,0.46935558,0.11490166,-0.5344285,0.17481482,0.7522836,0.5335368,0.2178855,-0.011664093,0.3347366,-0.9612336,0.20991755,0.048003793,0.11726117,0.99560845,0.6944221,0.110262275,0.65920067,0.4386196,0.471408,0.61178124,-0.62623763,-0.9391887,0.8715445,0.42196786,-0.108934164,-0.064644754,-0.9760426
8,0.76757723,0.46935558,-0.60835254,-0.8142153,0.17481482,0.7522836,0.7109171,0.2178855,0.29476953,0.3347366,-0.9612336,0.20991755,-0.43996644,0.11726117,0.99560845,0.6944221,0.110262275,0.65920067,0.4386196,-0.17584038,0.92786336,-0.096321225,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,0.93618524
9,0.49148417,0.46935558,-0.60835254,-0.8142153,0.7546892,0.5806707,0.5335368,0.2178855,0.29476953,0.3347366,-0.9612336,0.3916912,-0.43996644,0.11726117,0.99560845,0.6944221,0.110262275,0.65920067,0.4386196,-0.17584038,0.92786336,-0.096321225,-0.9391887,0.8715445,0.42196786,-0.5176766,0.8471614,0.93618524
10,0.78452164,0.46935558,0.11490166,-0.8142153,0.7546892,0.5806707,0.7109171,0.2178855,0.29476953,0.3347366,-0.9612336,0.20991755,-0.43996644,0.11726117,0.99560845,0.6944221,0.110262275,0.65920067,0.4386196,-0.9117495,0.92786336,-0.096321225,-0.9391887,0.8715445,0.9304466,-0.28905177,-0.064644754,-0.9760426
11,0.7396902,0.46935558,0.11490166,-0.8142153,0.17481482,0.5806707,0.5335368,0.2178855,0.29476953,0.3347366,0.7844471,0.3916912,-0.43996644,0.11726117,0.99560845,0.6944221,0.110262275,0.65920067,0.4386196,-0.9117495,0.92786336,-0.096321225,-0.9391887,0.8715445,0.9304466,-0.5176766,-0.064644754,-0.9760426
12,0.7931353,0.46935558,0.20904827,-0.8142153,0.7546892,0.5806707,0.5335368,0.2178855,0.29476953,0.28468025,-0.9612336,0.20991755,-0.43996644,0.11726117,0.60984373,-0.48179013,0.110262275,0.65920067,0.4386196,-0.17584038,0.92786336,-0.096321225,-0.36062384,-0.009113729,0.42196786,-0.28905177,-0.064644754,0.93618524
13,0.83900625,0.46935558,0.20904827,-0.8142153,0.7546892,0.5806707,0.5335368,-0.7730033,0.29476953,0.28468025,0.7844471,0.20991755,-0.43996644,-0.76735,0.60984373,0.6944221,0.110262275,0.65920067,0.4386196,-0.17584038,0.92786336,-0.096321225,-0.36062384,-0.009113729,0.9304466,-0.28905177,-0.064644754,0.93618524
14,0.68983525,0.46935558,0.20904827,-0.8142153,0.17481482,0.5806707,-0.27382338,0.2178855,0.29476953,0.28468025,0.7844471,0.20991755,-0.43996644,-0.76735,0.60984373,0.27268648,0.110262275,0.65920067,0.4386196,-0.17584038,0.33693945,-0.096321225,-0.36062384,0.74959934,0.9304466,-0.5176766,0.16634476,0.93618524
15,0.6881967,-0.4162115,0.20904827,-0.5344285,0.7546892,0.5806707,-0.27382338,0.9916494,0.29476953,0.3347366,0.7844471,0.20991755,0.024845958,-0.76735,0.60984373,0.27268648,0.110262275,0.65920067,0.4386196,-0.17584038,0.92786336,-0.62623763,-0.9391887,0.74959934,0.9304466,-0.108934164,0.16634476,0.93618524
16,0.6059344,-0.4162115,0.20904827,-0.8142153,-0.53037,0.5806707,-0.27382338,0.9916494,0.29476953,0.28468025,-0.13842642,0.3916912,0.024845958,-0.76735,0.60984373,-0.48179013,0.110262275,-0.16719204,0.4386196,-0.17584038,0.33693945,-0.096321225,-0.36062384,-0.009113729,0.9304466,-0.28905177,0.16634476,0.93618524
17,0.7529175,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.9916494,0.29476953,0.28468025,-0.13842642,0.3916912,-0.43996644,-0.76735,0.60984373,0.6944221,0.110262275,0.65920067,0.4386196,0.471408,0.92786336,-0.62623763,0.040109873,-0.009113729,0.9304466,-0.12708491,0.16634476,0.93618524
18,0.72750854,0.46935558,0.20904827,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.9916494,0.29476953,0.3347366,-0.13842642,0.3916912,0.024845958,-0.76735,0.60984373,-0.48179013,0.52070534,0.65920067,0.4386196,-0.6853354,0.33693945,-0.096321225,-0.9391887,0.74959934,0.9304466,-0.28905177,0.16634476,0.93618524
19,0.867804,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,0.5335368,0.9916494,0.29476953,0.28468025,0.7844471,0.3916912,0.024845958,0.25432038,0.60984373,-0.48179013,0.110262275,-0.16719204,0.4386196,0.471408,0.33693945,-0.096321225,-0.36062384,0.74959934,0.9304466,-0.12708491,0.16634476,0.93618524
20,0.69841254,0.46935558,0.20904827,-0.62439764,-0.53037,0.5806707,-0.27382338,0.9916494,0.29476953,0.28468025,-0.13842642,0.3916912,0.024845958,0.35441852,-0.21491212,-0.48179013,0.110262275,-0.16719204,0.4386196,-0.6853354,0.92786336,-0.62623763,0.040109873,-0.009113729,-0.10882568,-0.12708491,0.16634476,0.93618524
21,0.76388896,0.46935558,0.20904827,-0.62439764,-0.53037,0.5806707,0.5335368,0.9916494,0.29476953,0.28468025,0.7844471,0.20991755,0.024845958,0.25432038,0.39213657,-0.48179013,0.52070534,-0.16719204,0.4386196,-0.6853354,0.33693945,-0.62623763,-0.36062384,-0.009113729,-0.87557375,-0.28905177,0.16634476,0.93618524
22,0.7562146,0.46935558,0.20904827,-0.62439764,-0.33565164,-0.7275666,0.5335368,0.9916494,0.29476953,0.3347366,0.7844471,0.3916912,-0.31262594,0.25432038,0.60984373,-0.48179013,0.52070534,-0.16719204,0.4386196,0.471408,0.92786336,-0.62623763,-0.36062384,0.74959934,-0.10882568,-0.12708491,-0.46975625,0.93618524
23,0.43826127,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,0.5335368,0.49009383,0.29476953,0.28468025,-0.13842642,0.3916912,0.51545334,0.35441852,0.39213657,-0.48179013,0.52070534,-0.16719204,0.4386196,-0.6945606,0.33693945,-0.096321225,-0.9391887,0.74959934,0.9304466,-0.12708491,0.16634476,0.93618524
24,0.7225096,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.9916494,-0.16203195,0.28468025,0.7844471,0.3916912,-0.31262594,0.25432038,0.39213657,-0.48179013,0.52070534,-0.16719204,0.4386196,0.471408,0.92786336,-0.096321225,-0.36062384,0.74959934,-0.87557375,0.4103918,0.16634476,0.93618524
25,0.81613994,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.49009383,-0.16203195,0.28468025,0.7844471,0.3916912,-0.31262594,0.35441852,0.39213657,-0.48179013,0.52070534,-0.16719204,0.32927072,-0.6945606,0.33693945,-0.096321225,0.040109873,0.74959934,-0.87557375,-0.12708491,-0.46975625,0.93618524
26,0.7164404,-0.4162115,-0.97582465,-0.8142153,-0.53037,-0.7275666,-0.27382338,0.79213476,-0.16203195,0.28468025,0.7844471,0.3916912,-0.31262594,0.35441852,0.39213657,-0.48179013,0.52070534,-0.16719204,0.4386196,-0.6853354,0.92786336,-0.096321225,0.040109873,0.74959934,0.9304466,-0.12708491,-0.46975625,0.93618524
27,0.5875207,-0.4162115,-0.97582465,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.79213476,-0.16203195,0.28468025,-0.13842642,0.3916912,-0.31262594,0.25432038,0.39213657,-0.48179013,0.52070534,-0.16719204,0.32927072,0.471408,0.92786336,-0.40246588,0.040109873,-0.73352754,-0.87557375,0.4103918,0.6796024,0.93618524
28,0.39815927,-0.4162115,0.20904827,-0.62439764,-0.53037,-0.7275666,-0.27382338,0.49009383,-0.16203195,0.28468025,-0.13842642,0.3916912,-0.31262594,0.25432038,0.09123981,-0.48179013,0.52070534,-0.16719204,0.32927072,-0.6945606,-0.7141327,-0.40246588,0.040109873,0.74959934,-0.10882568,0.055222273,0.6796024,0.4604572
29,0.57146204,-0.4162115,-0.97582465,-0.8142153,-0.53037,-0.7275666,-0.27382338,0.79213476,-0.16203195,0.28468025,-0.13842642,0.3916912,-0.31262594,0.25432038,0.39213657,-0.48179013,0.52070534,-0.16719204,0.32927072,-0.6945606,-0.7141327,-0.096321225,0.040109873,-0.73352754,-0.10882568,-0.20427477,-0.46975625,0.4604572
30,0.511702,-0.4162115,0.20904827,-0.8142153,-0.33565164,0.6651269,-0.27382338,0.79213476,0.23717606,-0.64668536,-0.13842642,0.3916912,-0.31262594,0.35441852,0.09123981,-0.48179013,0.52070534,-0.16719204,0.4386196,-0.6945606,0.92786336,-0.40246588,0.040109873,-0.73352754,-0.10882568,0.4103918,0.5230571,0.93618524
31,0.79942286,-0.4162115,-0.97582465,-0.8142153,-0.33565164,0.6651269,-0.27382338,0.79213476,-0.16203195,0.28468025,-0.13842642,0.3916912,-0.31262594,0.25432038,0.09123981,-0.15400738,0.52070534,-0.16719204,0.4386196,-0.6945606,-0.7141327,-0.40246588,0.040109873,-0.73352754,-0.10882568,0.055222273,-0.46975625,0.4604572
32,0.5681803,0.86391807,-0.97582465,-0.8142153,-0.53037,-0.7275666,-0.27382338,0.79213476,0.23717606,0.28468025,-0.13842642,0.3916912,-0.31262594,-0.70579636,0.09123981,-0.15400738,-0.8447177,0.5688933,0.32927072,-0.6945606,-0.7141327,-0.40246588,0.040109873,-0.73352754,-0.10882568,0.4103918,0.5230571,0.4604572
