ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.75961024,-0.16676092,0.74420154,-0.51206875,-0.49545902,-0.031910777,0.7701732,-0.37484598,0.4599005,-0.95214653,0.78334785,0.59842587,-0.52759326,0.9700426,0.5401095,-0.6025713,0.07598376,0.18377078,0.8981929,-0.43444896,0.9489938,-0.6829865,-0.71798897,-0.21154606,-0.9229575,0.137725,0.6000775,0.19476974
1,0.5592685,-0.16676092,0.74420154,-0.51206875,0.40301585,-0.031910777,0.73777115,-0.294178,0.4599005,0.8048378,0.78334785,0.59842587,-0.52759326,-0.49162674,-0.32491958,0.8292793,0.07598376,0.18377078,0.36286473,-0.43444896,-0.4506765,0.30297577,-0.71798897,-0.21154606,-0.15575516,0.137725,-0.96189666,0.73226523
2,0.71581006,-0.16676092,-0.12908345,-0.51206875,0.40301585,-0.031910777,0.73777115,-0.294178,0.4599005,0.8048378,0.78334785,-0.054073513,-0.52759326,-0.49162674,-0.32491958,0.87423575,0.07598376,0.18377078,0.8981929,-0.43444896,0.9489938,0.30297577,0.14467084,-0.21154606,-0.15575516,0.137725,-0.44191325,0.19476974
3,0.3243035,0.123446345,-0.12908345,-0.51206875,0.40301585,-0.031910777,0.7701732,-0.294178,0.48560584,0.6226512,0.5782939,0.59842587,-0.52759326,0.9700426,-0.32491958,0.87423575,0.07598376,0.18377078,0.21291578,-0.43444896,0.9489938,0.30297577,0.14467084,0.29356575,-0.15575516,0.137725,0.6000775,0.73226523
4,0.80041564,0.123446345,0.74420154,-0.51206875,0.40301585,-0.031910777,0.73777115,-0.294178,0.48560584,-0.95214653,0.5782939,-0.054073513,-0.52759326,0.9700426,-0.32491958,0.8292793,0.07598376,0.18377078,0.8981929,-0.43444896,0.9489938,0.30297577,0.14467084,-0.21154606,-0.15575516,0.137725,-0.44191325,0.73226523
5,0.53846765,0.123446345,0.74420154,-0.51206875,0.40301585,-0.13531607,-0.21519601,0.20395482,0.4599005,0.8048378,0.5782939,-0.054073513,-0.52759326,0.9700426,-0.32491958,-0.6025713,0.07598376,0.18377078,0.8981929,-0.05591154,0.9489938,0.30297577,-0.8764398,0.29356575,-0.9229575,0.137725,-0.44191325,0.73226523
6,0.809065,0.123446345,0.74420154,-0.51206875,0.40301585,-0.13531607,0.73777115,-0.294178,0.48560584,0.8048378,0.5782939,-0.054073513,-0.52759326,-0.49162674,-0.32491958,0.87423575,0.07598376,0.18377078,0.8981929,-0.43444896,0.9489938,0.30297577,0.14467084,-0.21154606,-0.9229575,0.137725,-0.44191325,-0.012484372
7,0.77000403,0.123446345,-0.12908345,-0.51206875,0.40301585,-0.031910777,0.7701732,-0.294178,0.4599005,-0.95214653,0.5782939,-0.054073513,-0.52759326,0.9700426,-0.32491958,0.87423575,0.07598376,0.18377078,0.21291578,-0.43444896,0.9489938,0.30297577,0.14467084,0.29356575,-0.15575516,0.137725,-0.44191325,-0.012484372
8,0.72422504,0.123446345,0.74420154,-0.51206875,0.40301585,-0.13531607,0.7701732,0.20395482,0.4599005,-0.95214653,0.5782939,-0.054073513,-0.52759326,0.9700426,-0.32491958,0.87423575,0.07598376,0.18377078,0.8981929,-0.05591154,0.9489938,0.30297577,0.14467084,-0.21154606,-0.15575516,0.6995721,-0.44191325,-0.012484372
9,0.75720114,-0.31652355,0.74420154,-0.51206875,0.40301585,-0.13531607,-0.21519601,-0.18087047,0.48560584,-0.95214653,0.5782939,-0.054073513,-0.52759326,0.9700426,0.5134609,-0.6025713,0.07598376,0.18377078,0.21291578,-0.05591154,0.9489938,0.30297577,0.14467084,0.29356575,-0.9229575,0.137725,-0.44191325,0.73226523
10,0.7480072,-0.31652355,0.74420154,-0.51206875,0.40301585,-0.13531607,0.7701732,0.20395482,0.4599005,0.8048378,0.5782939,-0.054073513,-0.52759326,0.9700426,-0.32491958,0.87423575,0.07598376,0.18377078,0.8981929,-0.7027031,0.9489938,0.30297577,0.14467084,-0.36896044,-0.80569303,0.137725,-0.44191325,0.73226523
11,0.5473648,0.123446345,0.74420154,-0.51206875,0.40301585,-0.13531607,0.7701732,-0.18087047,0.4599005,0.8048378,0.5782939,-0.054073513,-0.52759326,-0.49162674,0.5134609,-0.6025713,0.07598376,0.18377078,0.8981929,-0.6484237,0.9489938,0.30297577,0.14467084,-0.21154606,-0.9229575,0.137725,-0.44191325,-0.012484372
12,0.6589174,0.123446345,-0.939046,-0.51206875,-0.06650829,-0.13531607,-0.21519601,-0.18087047,0.4599005,0.8048378,0.5782939,-0.054073513,-0.52759326,0.9700426,0.5134609,0.87423575,0.07598376,0.18377078,0.21291578,-0.43444896,0.9489938,0.30297577,0.14467084,-0.21154606,-0.80569303,0.6995721,-0.44191325,0.73226523
13,0.63820064,-0.31652355,-0.939046,-0.51206875,-0.06650829,-0.13531607,-0.21519601,-0.18087047,0.4599005,0.8048378,0.5782939,-0.054073513,-0.52759326,0.9700426,0.5134609,0.87423575,0.07598376,0.18377078,0.8981929,-0.6484237,0.9489938,0.30297577,0.14467084,-0.21154606,-0.15575516,0.137725,-0.44191325,-0.012484372
14,0.6161872,0.123446345,-0.939046,-0.51206875,0.40301585,-0.13531607,-0.21519601,-0.18087047,0.4599005,0.8048378,0.5782939,-0.054073513,0.90276074,-0.49162674,0.5134609,0.87423575,0.07598376,0.18377078,0.8981929,-0.7027031,0.9489938,0.30297577,0.14467084,-0.21154606,-0.80569303,0.137725,0.6000775,-0.012484372
15,0.7400912,0.123446345,0.74420154,-0.51206875,0.40301585,-0.06153339,-0.21519601,0.8007051,0.47695994,0.8048378,0.5782939,0.49462485,0.90276074,-0.49162674,0.5134609,0.87423575,-0.7060901,-0.07369453,0.8981929,-0.70488256,0.9489938,0.67788136,0.14467084,-0.21154606,-0.80569303,0.137725,0.6000775,-0.012484372
16,0.45548993,0.123446345,-0.939046,-0.51206875,-0.06650829,-0.13531607,-0.21519601,-0.18087047,0.47695994,0.8048378,0.5782939,-0.054073513,-0.52759326,0.9700426,0.5134609,0.87423575,-0.7060901,0.18377078,0.21291578,-0.7027031,0.9489938,0.30297577,0.14467084,-0.21154606,-0.80569303,0.137725,0.6000775,-0.012484372
