Generation,Maximum Fitness,Average Fitness,Variance
0,0.6224669,-0.03796629,0.114966795
1,0.6224669,-0.020233853,0.1025298
2,0.6224669,0.0013564408,0.11596871
3,0.6224669,0.029150426,0.0941207
4,0.6224669,0.060216714,0.0872462
5,0.6224669,0.04487236,0.09901321
6,0.6224669,0.072080515,0.093594626
7,0.6224669,0.07649933,0.09912845
8,0.6224669,0.0771407,0.104504384
9,0.6224669,0.07332694,0.10971437
10,0.6224669,0.051972818,0.1327457
11,0.6224669,0.05277648,0.12020377
12,0.6224669,0.10204159,0.11045738
13,0.6224669,0.12050243,0.10349839
14,0.6224669,0.11737649,0.10264572
15,0.6224669,0.13950881,0.094592184
16,0.6978233,0.17177212,0.091075376
17,0.6978233,0.17075895,0.08395787
18,0.6978233,0.18225941,0.064508736
19,0.6978233,0.13486199,0.101989545
20,0.7015557,0.15567812,0.108331345
21,0.7015557,0.16292246,0.08153387
22,0.7015557,0.16021338,0.09977818
23,0.7015557,0.17078407,0.09425661
24,0.7015557,0.21157426,0.075976126
25,0.7015557,0.25349388,0.064735524
26,0.7015557,0.20417815,0.0894238
27,0.7015557,0.2248921,0.091285534
28,0.7015557,0.2107226,0.09712663
29,0.7015557,0.19579117,0.103447095
30,0.7015557,0.22589038,0.1257099
31,0.7015557,0.22166142,0.08263042
32,0.7015557,0.19139074,0.12247276
33,0.7015557,0.21265896,0.103294395
34,0.7015557,0.24868654,0.08591962
35,0.7857884,0.24262112,0.08690363
36,0.7857884,0.2015461,0.13343349
37,0.7857884,0.23221914,0.10213198
38,0.7857884,0.26075825,0.11913691
39,0.7857884,0.26810047,0.09768276
40,0.7857884,0.2887615,0.09133
41,0.7857884,0.28753105,0.0661388
42,0.7857884,0.26105,0.092864685
43,0.7857884,0.27079776,0.087253615
44,0.7857884,0.22282544,0.11633356
45,0.7857884,0.29628587,0.08768168
46,0.7857884,0.308563,0.080056064
47,0.7857884,0.30735394,0.10034952
48,0.7857884,0.33635876,0.07890646
