Circle X,Circle Y,Agent X,N0_state,N0_output,N1_state,N1_output,N2_state,N2_output,N3_state,N3_output,N4_state,N4_output,N5_state,N5_output,N6_state,N6_output,N7_state,N7_output,N8_state,N8_output,N9_state,N9_output,N10_state,N10_output,N11_state,N11_output
200.0,105.0,250.0,-10.544370651245117,6.432375698750548E-7,10.546867370605469,0.9989251494407654,0.5842241048812866,0.017583545297384262,-2.13313364982605,0.0011807667324319482,-3.8425943851470947,2.1388244931586087E-4,-0.9775347113609314,0.003740417305380106,0.15955281257629395,0.011569758877158165,2.574737071990967,0.8457114100456238,0.2540312111377716,0.34992876648902893,0.02827436290681362,0.3004598319530487,0.012515777722001076,0.29715806245803833,0.012515777722001076,0.29715806245803833
200.0,108.0,250.0,-13.940678596496582,2.1546357586998965E-8,13.942782402038574,0.9999639987945557,0.5752955675125122,0.01742996834218502,-2.1601104736328125,0.0011493755737319589,-3.9122366905212402,1.994969352381304E-4,-0.9907552003860474,0.0036914744414389133,0.16772697865962982,0.011663613840937614,2.7172634601593018,0.8634069561958313,0.22862808406352997,0.3441723585128784,0.025446927174925804,0.29986587166786194,0.011264200322329998,0.296896755695343,0.011264200322329998,0.296896755695343
200.0,111.0,250.0,-16.802486419677734,1.231705737403388E-9,16.804262161254883,0.9999979734420776,0.5653524398803711,0.01726049929857254,-2.1831600666046143,0.0011232156539335847,-3.973468542098999,1.8764993001241237E-4,-1.002338171005249,0.0036491164937615395,0.1749199777841568,0.011746825650334358,2.8455371856689453,0.8778422474861145,0.2057652771472931,0.33903035521507263,0.0229022353887558,0.2993319034576416,0.01013778056949377,0.2966616451740265,0.01013778056949377,0.2966616451740265
200.0,114.0,250.0,-19.21391487121582,1.1046788483959347E-10,19.215412139892578,0.9999997615814209,0.5548995733261108,0.017084084451198578,-2.202816963195801,0.00110137602314353,-4.027293682098389,1.7781852511689067E-4,-1.0124775171279907,0.003612438216805458,0.18124230206012726,0.011820448562502861,2.9609835147857666,0.8896921277046204,0.18518875539302826,0.33443477749824524,0.020612012594938278,0.29885178804397583,0.009124002419412136,0.2964501678943634,0.009124002419412136,0.2964501678943634
200.0,117.0,250.0,-21.24584197998047,1.4480454162135725E-11,21.247102737426758,1.0,0.5443053841590881,0.016907088458538055,-2.2195513248443604,0.0010831186082214117,-4.074608325958252,1.696022809483111E-4,-1.0213477611541748,0.0035806496161967516,0.18679484724998474,0.011885478161275387,3.1648850440979004,0.908170759677887,0.16666987538337708,0.3303254246711731,0.01855081133544445,0.2984200417995453,0.008211602456867695,0.29625990986824036,0.008211602456867695,0.29625990986824036
200.0,120.0,250.0,-17.05962562561035,9.524275812466954E-10,17.060688018798828,0.9999984502792358,0.5327877998352051,0.016716714948415756,-2.2337682247161865,0.001067844801582396,-4.116201877593994,1.626937446417287E-4,-1.0290998220443726,0.0035530980676412582,0.1916639506816864,0.011942797340452671,3.3483965396881104,0.922371506690979,0.1500028818845749,0.3266489505767822,0.01669573038816452,0.2980318069458008,0.007390442304313183,0.29608872532844543,0.007390442304313183,0.29608872532844543
200.0,123.0,250.0,-13.532220840454102,3.241637358541993E-8,13.533116340637207,0.9999456405639648,0.5209609270095825,0.016523418948054314,-2.245807409286499,0.0010550793958827853,-4.152742385864258,1.5685711696278304E-4,-1.0358638763427734,0.0035292305983603,0.19592523574829102,0.01199318841099739,3.513556957244873,0.9334027171134949,0.13500259816646576,0.32335829734802246,0.015026157721877098,0.29768264293670654,0.0066513982601463795,0.2959347069263458,0.0066513982601463795,0.2959347069263458
200.0,126.0,250.0,-10.559946060180664,6.332965085675824E-7,10.560700416564941,0.9989399313926697,0.5090866088867188,0.016331560909748077,-2.2557504177093506,0.0010446516098454595,-4.184368133544922,1.51974760228768E-4,-1.0416749715805054,0.0035088530275970697,0.19959257543087006,0.012036722153425217,3.662201166152954,0.9420685768127441,0.1215023398399353,0.3204115033149719,0.013523542322218418,0.297368586063385,0.005986258387565613,0.29579615592956543,0.005986258387565613,0.29579615592956543
200.0,129.0,250.0,-8.055437088012695,7.74994168750709E-6,8.056072235107422,0.9871780872344971,0.4957180619239807,0.016118180006742477,-2.2613444328308105,0.0010388304945081472,-4.206320762634277,1.486753608332947E-4,-1.0456833839416504,0.0034948657266795635,0.20208674669265747,0.012066420167684555,3.795980930328369,0.9489522576332092,0.10935210436582565,0.31777164340019226,0.012171188369393349,0.29708611965179443,0.005387632641941309,0.2956714630126953,0.005387632641941309,0.2956714630126953
200.0,132.0,250.0,-5.945078372955322,6.394270167220384E-5,5.945613384246826,0.9031944274902344,0.46959981322288513,0.015709178522229195,-2.24605393409729,0.0010548201389610767,-4.183829307556152,1.5205665840767324E-4,-1.041616678237915,0.003509058151394129,0.19918261468410492,0.012031846679747105,3.9163827896118164,0.9544793963432312,0.09841689467430115,0.3154056966304779,0.010954069904983044,0.29683202505111694,0.004848869517445564,0.295559287071228,0.004848869517445564,0.295559287071228
200.0,135.0,250.0,-4.166840076446533,3.7838477874174714E-4,4.167290687561035,0.6118060350418091,0.39897486567497253,0.014653689227998257,-2.163320302963257,0.0011456961510702968,-4.019106388092041,1.7927993030752987E-4,-1.0118129253387451,0.0036148300860077143,0.17899183928966522,0.011794187128543854,4.024744510650635,0.9589623212814331,0.08857520669698715,0.3132845163345337,0.009858663193881512,0.29660341143608093,0.00436398247256875,0.2954583168029785,0.00436398247256875,0.2954583168029785
200.0,138.0,250.0,-2.66845440864563,0.0016908451216295362,2.6688342094421387,0.2604663372039795,0.2796529531478882,0.013026945292949677,-2.0070629119873047,0.0013392051914706826,-3.699953556060791,2.466656733304262E-4,-0.9540881514549255,0.003828813321888447,0.1400173455476761,0.011348475702106953,4.122270107269287,0.9626330733299255,0.07971768826246262,0.3113820552825928,0.008872796781361103,0.29639777541160583,0.003927584271878004,0.2953675091266632,0.003927584271878004,0.2953675091266632
200.0,141.0,250.0,-1.405879259109497,0.005950809922069311,1.4061992168426514,0.09061232954263687,0.14696966111660004,0.011426744051277637,-1.829244613647461,0.0015994086861610413,-3.3368377685546875,3.546183288563043E-4,-0.8886979818344116,0.004086489789187908,0.09585613012313843,0.01086354348808527,3.71004319190979,0.9446249604225159,0.07174591720104218,0.30967530608177185,0.007985517382621765,0.2962127923965454,0.003534825751557946,0.29528579115867615,0.003534825751557946,0.29528579115867615
