Generation,Maximum Fitness,Average Fitness,Variance
0,0.8328737,-0.04022545,0.17966783
1,0.8328737,-0.017911648,0.17498569
2,0.8328737,0.027981095,0.14923361
3,0.8328737,0.013636036,0.18508926
4,0.8328737,0.020331388,0.19914785
5,0.8328737,0.07742064,0.16364072
6,0.8328737,0.07271727,0.22130775
7,0.8328737,0.06986101,0.18101719
8,0.8328737,0.100693986,0.17551035
9,0.8328737,0.060223933,0.19372185
10,0.8328737,0.18197086,0.11804149
11,0.8356032,0.15895599,0.16240145
12,0.8356032,0.16702347,0.15766425
13,0.8356032,0.19416746,0.15787312
14,0.8356032,0.22873676,0.12628396
15,0.8356032,0.22095846,0.15349185
16,0.8356032,0.2646814,0.13833295
17,0.8356032,0.24890915,0.17855795
18,0.8356032,0.20911011,0.1710321
19,0.8356032,0.2822276,0.16547637
20,0.8356032,0.2376973,0.2010216
21,0.8356032,0.25799924,0.18176475
22,0.8356032,0.30349597,0.12720308
23,0.8356032,0.26378837,0.15243147
24,0.8356032,0.29521397,0.13626027
25,0.8356032,0.31567526,0.15656872
26,0.8356032,0.3084751,0.18642244
27,0.8356032,0.32701072,0.1745011
28,0.8356032,0.35712063,0.1437613
29,0.8356032,0.3610442,0.12613644
30,0.8356032,0.3386722,0.14166284
31,0.8356032,0.38316724,0.09642207
32,0.8356032,0.38534796,0.09290446
33,0.8356032,0.42793262,0.10407368
34,0.8356032,0.42455542,0.13735747
35,0.8356032,0.4199766,0.118049845
36,0.8356032,0.42068425,0.12714775
37,0.8356032,0.40491772,0.11775825
38,0.8356032,0.3915181,0.14439955
39,0.8356032,0.46035358,0.08170785
40,0.8356032,0.45659718,0.10260293
41,0.8356032,0.42185807,0.114990465
42,0.8356032,0.48499218,0.09066438
43,0.8356032,0.44626796,0.1441443
44,0.8356032,0.45263824,0.1697573
45,0.83953774,0.49271175,0.09781755
46,0.83953774,0.46493152,0.09141685
47,0.83953774,0.47632384,0.099838756
48,0.83953774,0.49052665,0.09944076
49,0.83953774,0.45427606,0.15975918
50,0.83953774,0.49227387,0.10259326
51,0.83953774,0.5027673,0.08391196
52,0.83953774,0.5142447,0.058595594
53,0.83953774,0.49313277,0.08342108
54,0.83953774,0.50750846,0.07076987
55,0.83953774,0.5163387,0.07377617
56,0.83953774,0.5319972,0.06883065
57,0.83953774,0.539586,0.0802807
58,0.83953774,0.53710604,0.08064248
59,0.83953774,0.52758163,0.10994269
60,0.83953774,0.5435994,0.10934484
61,0.83953774,0.54132473,0.10440525
62,0.8413241,0.5594772,0.07795181
63,0.8413241,0.5911138,0.042497385
64,0.8413241,0.5806224,0.050401542
65,0.8413241,0.5769749,0.07225397
66,0.8413241,0.5910253,0.06639025
67,0.8413241,0.6043321,0.04773226
68,0.8413241,0.59715086,0.059435625
69,0.8413241,0.6206379,0.046501122
70,0.8551991,0.5900453,0.07016451
71,0.8551991,0.5819724,0.0573369
72,0.8584119,0.5640814,0.079750195
73,0.8584119,0.59645,0.063670486
74,0.8584119,0.57497644,0.077827446
75,0.8584119,0.57109624,0.09019967
76,0.8584119,0.5998994,0.06035365
77,0.8584119,0.6243414,0.06835481
78,0.8584119,0.6383625,0.039486624
79,0.8584119,0.59543604,0.06958464
80,0.8584119,0.58161455,0.059906553
81,0.8584119,0.58008456,0.0660672
82,0.8584119,0.59197724,0.05450338
83,0.8584119,0.5639306,0.06289899
84,0.8584119,0.58963466,0.066475384
85,0.8584119,0.6086918,0.045084834
86,0.8584119,0.5843909,0.070087776
87,0.8584119,0.60349864,0.06851445
88,0.8584119,0.5760664,0.063953064
89,0.8584119,0.6130255,0.055971768
90,0.8584119,0.60849005,0.05959606
91,0.8584119,0.6486489,0.03400899
92,0.86076665,0.6319043,0.04979551
93,0.86076665,0.61196494,0.067421086
94,0.86076665,0.6605557,0.022816129
95,0.86076665,0.6404981,0.04479464
96,0.86076665,0.6323635,0.07079405
97,0.86076665,0.6292103,0.05437979
98,0.86076665,0.64139694,0.035277475
99,0.86076665,0.6379034,0.034953974
100,0.8626397,0.6155848,0.06266963
101,0.8626397,0.570386,0.11745723
102,0.8626397,0.6354601,0.04931515
103,0.8626397,0.6271983,0.060134772
104,0.8626397,0.649941,0.044266026
105,0.868114,0.64577127,0.04815906
106,0.868114,0.65100664,0.047437727
107,0.868114,0.629207,0.07044058
108,0.868114,0.6332439,0.06150188
109,0.88853234,0.6629429,0.049938936
110,0.88853234,0.68605995,0.028547095
111,0.88853234,0.6631927,0.044171844
112,0.88853234,0.66527617,0.04842316
113,0.88853234,0.6195065,0.10102203
114,0.88853234,0.66208,0.065395705
115,0.88853234,0.6833129,0.05219635
116,0.88853234,0.7130024,0.014276003
117,0.88853234,0.69563454,0.037359767
118,0.88853234,0.71107846,0.023343878
119,0.88853234,0.7161794,0.016119748
120,0.88853234,0.7027962,0.029105721
121,0.88853234,0.6997264,0.02236967
122,0.88853234,0.7111652,0.020610021
123,0.88853234,0.69629043,0.022626473
124,0.88853234,0.69220537,0.02139339
125,0.88853234,0.6992758,0.02618086
126,0.88853234,0.71493065,0.023292113
127,0.88853234,0.71827245,0.02311623
128,0.88853234,0.71769994,0.013329711
129,0.88853234,0.7300077,0.01551099
130,0.88853234,0.7314514,0.014525522
131,0.88853234,0.7154689,0.014991251
132,0.88853234,0.71064836,0.032910712
133,0.88853234,0.71694565,0.023760049
134,0.88853234,0.7517098,0.010379837
135,0.88977593,0.7180664,0.02201244
136,0.88977593,0.7240579,0.022731874
137,0.88977593,0.7206075,0.058403354
138,0.88977593,0.72929955,0.024903255
139,0.88977593,0.7201197,0.029374188
140,0.88977593,0.7339404,0.013360467
141,0.88977593,0.7120696,0.028233597
142,0.8936107,0.7559733,0.0110046575
143,0.900098,0.7336006,0.020007672
144,0.900098,0.7495292,0.012841213
145,0.9026828,0.7533501,0.013431302
146,0.9026828,0.7404291,0.018245568
147,0.91010875,0.7399595,0.020011688
148,0.91010875,0.73654276,0.01692347
149,0.91892415,0.72740614,0.025106471
150,0.91892415,0.7221732,0.022087252
151,0.91892415,0.74052703,0.014375829
152,0.91892415,0.72094786,0.021537239
153,0.91892415,0.72773606,0.018530339
154,0.91892415,0.7448299,0.016341763
155,0.91892415,0.75327194,0.015111981
156,0.91892415,0.7394429,0.023100719
157,0.91892415,0.723153,0.025957335
158,0.91892415,0.7232409,0.042381868
159,0.9361489,0.74716675,0.02105834
160,0.9361489,0.7564273,0.01400719
161,0.9361489,0.7571973,0.013627258
162,0.9361489,0.7593682,0.012752134
163,0.9361489,0.7517924,0.020752762
164,0.9361489,0.76203245,0.010897637
165,0.9361489,0.76199555,0.009585901
166,0.9361489,0.752415,0.014757868
167,0.9361489,0.74795145,0.025030153
168,0.9361489,0.7618301,0.013496604
169,0.9361489,0.7730285,0.011277571
170,0.9361489,0.7575447,0.01803604
171,0.9361489,0.7780059,0.008899655
172,0.9361489,0.76766616,0.011802287
173,0.9361489,0.7736762,0.014816583
174,0.9361489,0.76168287,0.018701145
175,0.9361489,0.7565397,0.017554011
176,0.9361489,0.7705015,0.018326761
177,0.9361489,0.7614962,0.016835738
178,0.9361489,0.76469445,0.012740112
179,0.9361489,0.7748402,0.008035628
180,0.9361489,0.7700716,0.010062912
181,0.9361489,0.7612125,0.014964129
182,0.9361489,0.7507327,0.017863892
183,0.9361489,0.7707061,0.010306262
184,0.9361489,0.7542973,0.026756005
185,0.9361489,0.7818211,0.0093791615
186,0.9361489,0.76625437,0.02178898
187,0.9361489,0.7731141,0.013576585
188,0.9361489,0.775323,0.01050603
189,0.9361489,0.7920862,0.012066184
190,0.9361489,0.7764322,0.017322361
191,0.9361489,0.78416365,0.010734096
192,0.9361489,0.79742694,0.0055372487
193,0.9361489,0.78470606,0.0150481835
194,0.9380774,0.79326415,0.012104787
195,0.9380774,0.79120016,0.010148727
196,0.9380774,0.7714945,0.01569536
197,0.9380774,0.77299744,0.0161236
198,0.9380774,0.7927008,0.010997516
199,0.9380774,0.78853846,0.0097885495
