Generation,Maximum Fitness,Average Fitness,Variance
0,0.60235727,-0.016837602,0.16674922
1,0.60235727,0.010986426,0.16357921
2,0.60235727,0.015086144,0.14873035
3,0.7018416,-0.025155324,0.19491862
4,0.7244231,0.032308355,0.1825287
5,0.7244231,0.045299258,0.20654245
6,0.7244231,0.022742543,0.24006537
7,0.7244231,-0.024556408,0.2456626
8,0.7244231,0.024662938,0.2162567
9,0.7244231,0.12134502,0.12137285
10,0.7244231,0.0563042,0.21905176
11,0.81066334,0.13366681,0.15644993
12,0.81066334,0.13814157,0.158812
13,0.81066334,0.15627235,0.15636373
14,0.81066334,0.12023864,0.15607552
15,0.81066334,0.13916749,0.21171549
16,0.81066334,0.14891094,0.24605706
17,0.81066334,0.18143456,0.21228802
18,0.81066334,0.1998793,0.18130715
19,0.81066334,0.22590916,0.14092289
20,0.81066334,0.22439103,0.10698608
21,0.81066334,0.20551212,0.15601183
22,0.81066334,0.2244675,0.16256113
23,0.81066334,0.26371557,0.13828166
24,0.81066334,0.22823723,0.1513412
25,0.81066334,0.28659797,0.12187303
26,0.81066334,0.28289396,0.13073923
27,0.81066334,0.30345744,0.11951917
28,0.81066334,0.27190483,0.13644467
29,0.81066334,0.30645078,0.09778211
30,0.81066334,0.2933694,0.12566245
31,0.81066334,0.3375957,0.114013866
32,0.81066334,0.36159816,0.101723254
33,0.81066334,0.32916093,0.16249828
34,0.81066334,0.33062595,0.1628669
35,0.81066334,0.3387694,0.15375258
36,0.81066334,0.36510247,0.13243644
37,0.81066334,0.3974786,0.106839634
38,0.81066334,0.38052297,0.12546405
39,0.81066334,0.39456573,0.1323275
40,0.81066334,0.40681353,0.116397485
41,0.81066334,0.46180722,0.072798915
42,0.81066334,0.43945134,0.086642705
43,0.81066334,0.4455805,0.072679296
44,0.81066334,0.44132516,0.088191494
45,0.81066334,0.41287303,0.13407901
46,0.81066334,0.46545193,0.06755231
47,0.81066334,0.4668209,0.083932355
48,0.81066334,0.47385406,0.08979081
49,0.81066334,0.4838798,0.08337975
50,0.81066334,0.46715468,0.08917332
51,0.81066334,0.41851687,0.11640253
52,0.8700825,0.5064097,0.069875024
53,0.8700825,0.50320536,0.09114919
54,0.8700825,0.5012768,0.10042968
55,0.8700825,0.5084319,0.06288298
56,0.8700825,0.4651052,0.10733483
57,0.8700825,0.45420977,0.11456247
58,0.8700825,0.47588748,0.15521814
59,0.8700825,0.552249,0.06484201
60,0.8700825,0.5324862,0.08117791
61,0.8700825,0.5681509,0.058949377
62,0.8700825,0.5395858,0.06979992
63,0.8700825,0.5592408,0.073877424
64,0.8700825,0.5442543,0.10427499
65,0.8700825,0.53850377,0.088558525
66,0.8700825,0.54180264,0.09658434
67,0.8700825,0.54199,0.100411
68,0.8700825,0.543762,0.07276355
69,0.8700825,0.5807518,0.06618756
70,0.8700825,0.57298946,0.07800486
71,0.8700825,0.5522227,0.12886201
72,0.8700825,0.55903804,0.10966039
73,0.8700825,0.57123715,0.07920555
74,0.8700825,0.5750308,0.11936289
75,0.8700825,0.55107343,0.09823836
76,0.8700825,0.57062674,0.0787969
77,0.8700825,0.551779,0.093679614
78,0.8700825,0.5439068,0.092198096
79,0.8700825,0.59092367,0.051221617
80,0.8700825,0.58099914,0.054521136
81,0.8700825,0.5976929,0.07159359
82,0.8700825,0.60462606,0.06809065
83,0.8700825,0.59371996,0.06726217
84,0.8700825,0.60477346,0.056008518
85,0.8700825,0.577508,0.09655097
86,0.8700825,0.5916517,0.089792855
87,0.8700825,0.5950352,0.07675102
88,0.8700825,0.6232243,0.04152162
89,0.8700825,0.6177507,0.05534766
90,0.8700825,0.6255052,0.058013137
91,0.8700825,0.6287405,0.03974203
92,0.8700825,0.6267216,0.033687044
93,0.8700825,0.6123226,0.053627037
94,0.8700825,0.6354996,0.059108682
95,0.8700825,0.60923773,0.037892707
96,0.8700825,0.64936423,0.029519655
97,0.8700825,0.6537514,0.073432416
98,0.8700825,0.62083703,0.09071226
99,0.8700825,0.6403969,0.033129893
100,0.8700825,0.632151,0.08259932
101,0.8700825,0.663047,0.029463576
102,0.8700825,0.6474828,0.032174405
103,0.8700825,0.62437,0.040854968
104,0.8700825,0.6510946,0.047703896
105,0.8700825,0.62161744,0.094451435
106,0.8700825,0.629845,0.046079837
107,0.8700825,0.6203799,0.096152596
108,0.8700825,0.63695616,0.06125179
109,0.8700825,0.61984134,0.06668521
110,0.8700825,0.64486295,0.0882967
111,0.8700825,0.6419378,0.047028035
112,0.8700825,0.65481603,0.03188587
113,0.8700825,0.62928826,0.05781613
114,0.8700825,0.63562506,0.052816566
115,0.8700825,0.6824387,0.023277897
116,0.8700825,0.665351,0.04120204
117,0.8700825,0.6801281,0.028507406
118,0.8700825,0.64433396,0.051826112
119,0.87481326,0.64283186,0.054464668
120,0.87481326,0.6511847,0.066666566
121,0.87481326,0.64734626,0.09316855
122,0.87481326,0.6685891,0.02931797
123,0.87481326,0.6656396,0.039508104
124,0.87481326,0.6589279,0.0648687
125,0.87481326,0.6534455,0.06990024
126,0.87481326,0.6966355,0.020953063
127,0.87481326,0.6887677,0.031930257
128,0.87481326,0.65945506,0.076216474
129,0.87481326,0.6350404,0.09003646
130,0.87481326,0.6870031,0.022915065
131,0.8766631,0.68716484,0.02920216
132,0.8766631,0.70401603,0.023070976
133,0.8766631,0.69432795,0.028831236
134,0.8766631,0.6976051,0.021164408
135,0.8766631,0.691024,0.026445935
136,0.8895006,0.68953025,0.02971221
137,0.8895006,0.6979542,0.020204682
138,0.8895006,0.674973,0.04297438
139,0.8895006,0.7074059,0.017034734
140,0.9027675,0.68799835,0.03694549
141,0.9027675,0.7036943,0.026260197
142,0.9027675,0.71829736,0.01611377
143,0.9027675,0.6988717,0.027730333
144,0.9027675,0.70355093,0.057720006
145,0.9027675,0.7263647,0.017833207
146,0.9027675,0.6864747,0.05665244
147,0.91495043,0.7154014,0.033041224
148,0.91495043,0.72073096,0.043893993
149,0.91495043,0.71889204,0.024205219
150,0.91495043,0.7232808,0.01885437
151,0.91495043,0.7258066,0.018906146
152,0.91495043,0.7199233,0.028527793
153,0.91495043,0.72627527,0.021256117
154,0.9159692,0.69715524,0.026572336
155,0.9159692,0.7136792,0.032595877
156,0.9159692,0.7219458,0.02137707
157,0.9159692,0.70942396,0.022510266
158,0.9159692,0.72186834,0.01921039
159,0.9159692,0.7140765,0.019427406
160,0.9159692,0.7202402,0.023328302
161,0.9159692,0.7160911,0.028681418
162,0.9159692,0.7266606,0.023098791
163,0.9159692,0.7347593,0.020031886
164,0.9159692,0.7499397,0.01485804
165,0.9159692,0.7372407,0.022196257
166,0.9159692,0.7398888,0.014778171
167,0.9159692,0.7228318,0.01914095
168,0.9159692,0.73863363,0.013274665
169,0.9159692,0.7323638,0.020241614
170,0.9159692,0.7437861,0.015080982
171,0.9159692,0.73947084,0.014236172
172,0.9159692,0.73386145,0.019591939
173,0.9159692,0.7413662,0.018267067
174,0.9159692,0.7570918,0.011721135
175,0.9159692,0.7551384,0.017010016
176,0.9159692,0.76015633,0.014107137
177,0.9159692,0.74163,0.019939484
178,0.9159692,0.74304396,0.01434694
179,0.9159692,0.7589141,0.010298329
180,0.9159692,0.7461798,0.020308264
181,0.9159692,0.75736547,0.012928982
182,0.9159692,0.75002563,0.01602067
183,0.9159692,0.74398184,0.015884746
184,0.9159692,0.7282273,0.026494479
185,0.9159692,0.75845265,0.010916682
186,0.9159692,0.7534752,0.012199161
187,0.9159692,0.7529297,0.01180229
188,0.9159692,0.7685256,0.008756005
189,0.9159692,0.7607702,0.013312266
190,0.9159692,0.7567612,0.013105256
191,0.9159692,0.7648212,0.012121428
192,0.9159692,0.75071067,0.01804214
193,0.9159692,0.75495857,0.015368716
194,0.9159692,0.76383954,0.013994592
195,0.9159692,0.7710617,0.010136
196,0.9159692,0.74864274,0.022199037
197,0.9159692,0.72759444,0.033714045
198,0.9159692,0.74878746,0.016986141
199,0.9159692,0.7454937,0.011669536
