ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.83800936,0.7339573,-0.6454891,-0.84121096,0.9352449,0.3493104,-0.331388,0.10018301,-0.27686197,0.6027813,-0.19886398,0.7005217,0.013895631,0.22082555,0.89017415,0.45945287,-0.9823628,-0.6647935,0.3160448,0.32543015,-0.5202705,-0.08222526,0.8086586,-0.59190273,-0.28766847,-0.92960054,-0.58347356,0.34039402
1,0.8785236,-0.95714355,-0.6454891,-0.38392854,0.9352449,0.3493104,-0.331388,0.09909797,0.35459495,0.6027813,-0.19886398,0.43184984,0.013895631,0.22082555,0.89017415,0.45945287,-0.9823628,-0.9887558,0.3160448,0.32543015,-0.5202705,0.23175287,0.8086586,0.113117576,0.3647231,-0.92960054,-0.58347356,-0.9497886
2,0.83765864,-0.95714355,-0.6454891,-0.38392854,0.9352449,0.3360306,-0.083857596,0.10018301,0.35459495,-7.7724457E-4,-0.19886398,0.43184984,0.66036355,0.22082555,0.8859302,0.45945287,-0.9823628,0.7560754,0.3160448,0.32543015,-0.5202705,0.23175287,0.8086586,0.113117576,-0.28766847,-0.92960054,-0.58347356,-0.5632869
3,0.79810435,-0.4969058,-0.6454891,-0.38392854,0.9352449,0.3493104,-0.331388,0.10018301,0.35459495,0.6027813,-0.19886398,0.7005217,0.66036355,0.22082555,0.89017415,0.45945287,-0.9823628,0.7560754,0.3160448,0.32543015,-0.5202705,-0.08222526,0.8086586,-0.59190273,-0.2301588,-0.92960054,-0.58347356,0.34039402
4,0.8404694,-0.4969058,-0.6454891,-0.38392854,0.9352449,0.3493104,-0.331388,0.09909797,0.35459495,0.6027813,0.60660625,0.69755185,0.66036355,0.22082555,0.89017415,-0.3251943,-0.9823628,-0.6647935,0.3160448,0.32543015,-0.5202705,0.23175287,0.8086586,-0.06402099,-0.2301588,0.67557776,-0.58347356,-0.5632869
5,0.79782045,-0.4969058,0.050505042,-0.38392854,0.9352449,0.3493104,-0.083857596,0.09909797,0.35459495,0.6027813,-0.19886398,0.43184984,0.66036355,0.22082555,0.89017415,-0.3251943,0.33355057,0.8234875,0.3160448,0.49548578,0.2590649,0.23175287,0.8086586,-0.59190273,-0.2301588,0.67557776,-0.58347356,-0.9497886
6,0.7778001,-0.2601925,0.050505042,-0.84121096,0.9352449,0.3493104,0.6780578,0.10018301,0.35459495,0.6027813,-0.19886398,0.69755185,-0.49143887,0.22082555,0.89017415,-0.3251943,-0.35998076,0.7560754,0.3160448,0.49548578,-0.5202705,-0.08222526,0.8086586,0.113117576,-0.28766847,0.67557776,-0.58347356,-0.5632869
7,0.55195796,-0.4969058,0.050505042,-0.38392854,0.9352449,0.3493104,-0.083857596,0.10018301,0.35459495,-7.7724457E-4,-0.19886398,0.7005217,0.66036355,0.22082555,0.8859302,-0.3251943,0.33355057,0.7560754,0.3160448,0.49548578,0.2590649,-0.24892253,0.8086586,-0.06402099,-0.28766847,0.67557776,-0.58347356,-0.5632869
8,0.8832541,-0.4969058,0.050505042,-0.38392854,0.9352449,0.3493104,0.6780578,0.10018301,-0.27686197,-7.7724457E-4,0.60660625,0.69755185,0.66036355,0.22082555,0.89017415,-0.3251943,0.33355057,-0.6647935,0.3160448,0.49548578,0.2590649,-0.24892253,0.8086586,-0.06402099,-0.2301588,0.67557776,-0.58347356,-0.5632869
9,0.87145364,-0.2601925,-0.6454891,-0.38392854,-0.094781816,0.3493104,-0.331388,0.09909797,-0.27686197,-7.7724457E-4,-0.19886398,0.43184984,-0.49143887,0.22082555,0.89017415,-0.3251943,0.33355057,-0.6647935,0.3160448,0.49548578,0.2590649,0.23175287,0.8086586,-0.06402099,-0.2301588,0.67557776,-0.58347356,-0.5632869
