Generation,Maximum Fitness,Average Fitness,Variance
0,0.844902,-0.05207961,0.17488104
1,0.8480305,-0.07831118,0.24444336
2,0.8480305,-7.4921903E-4,0.17943542
3,0.8480305,-0.003079242,0.15223737
4,0.8480305,0.051314026,0.15019277
5,0.8480305,0.048391577,0.1549635
6,0.8480305,0.043134753,0.1678351
7,0.8480305,0.037705887,0.18530758
8,0.8480305,0.040359367,0.2309705
9,0.8480305,0.05570832,0.19582716
10,0.8480305,0.078278214,0.15409803
11,0.8480305,0.11257938,0.17404325
12,0.8480305,0.028177451,0.21802121
13,0.8480305,0.084554285,0.2609228
14,0.8480305,0.10392215,0.20855166
15,0.8480305,0.16683447,0.1927313
16,0.8480305,0.15405136,0.17146698
17,0.8480305,0.15906088,0.16107975
18,0.8480305,0.14038834,0.14687991
19,0.8480305,0.1722727,0.14604466
20,0.8480305,0.17617415,0.15655322
21,0.8480305,0.15807681,0.17371906
22,0.8480305,0.18342897,0.16963756
23,0.8480305,0.19535023,0.15111966
24,0.8480305,0.20502608,0.16844925
25,0.8480305,0.1734472,0.14697115
26,0.8480305,0.14732285,0.19818743
27,0.8480305,0.20659763,0.18485945
28,0.8480305,0.18486747,0.20650181
29,0.8480305,0.20574768,0.23001511
30,0.8480305,0.24669921,0.17326239
31,0.8480305,0.27986395,0.18668261
32,0.8480305,0.29940042,0.18844856
33,0.8480305,0.3265132,0.14811267
34,0.8480305,0.30739808,0.15583023
35,0.8480305,0.27909765,0.17298476
36,0.8480305,0.33448958,0.13865556
37,0.8480305,0.32087058,0.11800637
38,0.8480305,0.33647525,0.12717336
39,0.8480305,0.34406868,0.13652653
40,0.8480305,0.40908366,0.114732474
41,0.8480305,0.41219887,0.09912948
42,0.8480305,0.40528983,0.15452297
43,0.8480305,0.43591225,0.105046995
44,0.8480305,0.41752613,0.12150985
45,0.8480305,0.37099907,0.16125733
46,0.8480305,0.3659735,0.1760178
47,0.8480305,0.43792403,0.12840049
48,0.8480305,0.41486177,0.12809104
49,0.8480305,0.45284256,0.07451453
50,0.8480305,0.45734826,0.06622636
51,0.8480305,0.45166373,0.087520994
52,0.8480305,0.4874773,0.08310674
53,0.8480305,0.48471844,0.07434732
54,0.8480305,0.4537138,0.106954135
55,0.8480305,0.43659392,0.104649685
56,0.8480305,0.4388223,0.08615376
57,0.8480305,0.4506966,0.099149935
58,0.8480305,0.48397446,0.091120765
59,0.8480305,0.49321547,0.10911281
60,0.8480305,0.4853838,0.096289285
61,0.8480305,0.48561147,0.08769123
62,0.8480305,0.4902464,0.087229125
63,0.8480305,0.4990598,0.09248897
64,0.8480305,0.48155212,0.11639448
65,0.8480305,0.5258034,0.10236489
66,0.8480305,0.54519886,0.07928577
67,0.878777,0.5404416,0.07245257
68,0.878777,0.5007271,0.0854847
69,0.878777,0.51754355,0.07883109
70,0.878777,0.53446984,0.10191762
71,0.878777,0.51018083,0.11018797
72,0.878777,0.529509,0.08491734
73,0.878777,0.5691011,0.0443613
74,0.89494044,0.53512055,0.1280848
75,0.89494044,0.57861054,0.066711105
76,0.89494044,0.58310056,0.059929304
77,0.89494044,0.57195914,0.061280377
78,0.89494044,0.5859105,0.051425062
79,0.89494044,0.6119544,0.037475754
80,0.89494044,0.5669332,0.078793176
81,0.89494044,0.5940371,0.057000585
82,0.89494044,0.56896627,0.05637994
83,0.89494044,0.5901293,0.049141753
84,0.89494044,0.5887896,0.04862255
85,0.89494044,0.58653665,0.06363876
86,0.89494044,0.55953234,0.06416843
87,0.89494044,0.5719837,0.05436794
88,0.89494044,0.5702312,0.044309314
89,0.89494044,0.53767264,0.07861908
90,0.89494044,0.59158427,0.0460387
91,0.89494044,0.5813528,0.057058305
92,0.89494044,0.5805491,0.05773877
93,0.89494044,0.6011289,0.05045654
94,0.89494044,0.5847001,0.054981608
95,0.89494044,0.59497637,0.061478138
96,0.89494044,0.6235537,0.035636246
97,0.89494044,0.6260048,0.033099964
98,0.89494044,0.6025959,0.04395848
99,0.89494044,0.5882055,0.049461987
100,0.89494044,0.6127476,0.042992458
101,0.89494044,0.61553186,0.04565762
102,0.89494044,0.64003676,0.03139251
103,0.89494044,0.62837064,0.046739507
104,0.89494044,0.64433825,0.045780707
105,0.89494044,0.60593706,0.04795185
106,0.89494044,0.619479,0.04427135
107,0.89494044,0.60585016,0.06713016
108,0.89494044,0.6372063,0.04058994
109,0.89494044,0.62668264,0.052136157
110,0.89494044,0.64137757,0.03049625
111,0.89494044,0.6345727,0.03252368
112,0.89494044,0.62255526,0.03971729
113,0.89494044,0.64174867,0.03699714
114,0.89494044,0.64019835,0.030650329
115,0.89494044,0.6456615,0.03850396
116,0.89494044,0.6492903,0.041354332
117,0.89494044,0.66062087,0.033210445
118,0.89494044,0.67864907,0.024937186
119,0.89494044,0.65267324,0.05533708
120,0.89494044,0.65545756,0.041291203
121,0.89494044,0.6592904,0.044194862
122,0.89494044,0.6638,0.037925076
123,0.89494044,0.6295222,0.065106146
124,0.89494044,0.66553956,0.048125394
125,0.89494044,0.66680604,0.03524913
126,0.89494044,0.66529155,0.030279338
127,0.89494044,0.6299892,0.064738005
128,0.89494044,0.6699208,0.023499275
129,0.89494044,0.6717411,0.03554939
130,0.89494044,0.6780957,0.038909093
131,0.89494044,0.67104006,0.040599428
132,0.89494044,0.6709311,0.04839305
133,0.89494044,0.6769608,0.02689929
134,0.89494044,0.68480104,0.030315911
135,0.8994319,0.69261163,0.026771454
136,0.8994319,0.65407044,0.047305997
137,0.8994319,0.667615,0.04513351
138,0.8994319,0.6627082,0.038827557
139,0.8994319,0.69869727,0.030509934
140,0.8994319,0.70598525,0.036067512
141,0.8994319,0.6914965,0.038853798
142,0.8994319,0.69531476,0.031099716
143,0.8994319,0.7085373,0.021008188
144,0.8994319,0.7034347,0.026760733
145,0.8994319,0.68631476,0.032936994
146,0.8994319,0.703535,0.028040325
147,0.8994319,0.70862883,0.026929544
148,0.8994319,0.6906387,0.046779912
149,0.8994319,0.68805146,0.050488096
150,0.8994319,0.6870275,0.04101995
151,0.8994319,0.70858645,0.03205322
152,0.8994319,0.6922574,0.04320739
153,0.8994319,0.68624115,0.037699874
154,0.8994319,0.6833581,0.04411375
155,0.8994319,0.69272125,0.029681731
156,0.8994319,0.6752807,0.04521875
157,0.8994319,0.700896,0.032403447
158,0.8994319,0.69526803,0.0342049
159,0.8994319,0.71210945,0.023940882
160,0.8994319,0.69728225,0.03151988
161,0.9044867,0.6861612,0.033592697
162,0.9044867,0.69916636,0.026066413
163,0.9044867,0.67952037,0.03679355
164,0.9044867,0.6929247,0.03623781
165,0.9044867,0.7067275,0.032162152
166,0.9044867,0.70454645,0.032915067
167,0.9044867,0.7151998,0.022416828
168,0.9044867,0.71519053,0.025251905
169,0.9044867,0.7234063,0.024971943
170,0.9044867,0.69461256,0.039400693
171,0.9044867,0.7200416,0.037526067
172,0.9044867,0.706656,0.035461776
173,0.9044867,0.7214973,0.028440058
174,0.9044867,0.71822375,0.028985284
175,0.9044867,0.71112525,0.033010207
176,0.9044867,0.7367693,0.022938928
177,0.9044867,0.7339655,0.014354163
178,0.9044867,0.7348207,0.017177451
179,0.9044867,0.70938224,0.027998565
180,0.9044867,0.7113857,0.031095916
181,0.9044867,0.71990013,0.03343451
182,0.9044867,0.7446553,0.022237446
183,0.92108774,0.7313086,0.03614943
184,0.92108774,0.7205597,0.030616663
185,0.92108774,0.7393764,0.021750165
186,0.92108774,0.72401786,0.024308203
187,0.92108774,0.7272252,0.024589054
188,0.92108774,0.6991365,0.040419452
189,0.92108774,0.72622836,0.023323115
190,0.92108774,0.7428724,0.014485193
191,0.92108774,0.7288553,0.036138743
192,0.92108774,0.73105127,0.038647838
193,0.92108774,0.7261067,0.024946855
194,0.92108774,0.73517907,0.02223819
195,0.92108774,0.7270772,0.023320997
196,0.92108774,0.714552,0.032329466
197,0.92108774,0.7157177,0.04116627
198,0.92108774,0.73084444,0.0328723
199,0.92108774,0.691724,0.062867984
