ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.74825084,-0.21267653,-0.7411934,-0.6822952,0.33201563,0.18062878,0.84545565,0.22072399,-0.49961483,0.42576003,0.4787351,0.6670219,-0.8132088,0.6290083,0.78727734,0.2848308,-0.6844772,-0.047692597,-0.34407914,-0.87655383,0.112694025,0.8719772,0.4044149,0.40949488,-0.89833844,0.53470707,0.93252826,-0.5636755
1,0.8642403,-0.21267653,-0.7411934,-0.6822952,0.33201563,0.18062878,0.84545565,0.22072399,-0.49961483,0.21815825,-0.8474039,0.6670219,-0.8132088,0.6290083,0.7749492,0.2848308,-0.6844772,0.3872397,-0.34407914,0.9254416,0.112694025,0.8719772,0.4044149,-0.6785909,-0.89833844,0.53470707,0.93252826,-0.5636755
2,0.82060343,-0.21267653,-0.7411934,-0.6822952,0.33201563,-0.19191003,0.8823304,0.22072399,-0.49961483,0.42576003,0.4787351,0.6670219,-0.8132088,0.6290083,0.7749492,0.14538074,-0.6844772,-0.047692597,-0.34407914,0.9254416,0.112694025,0.8007313,-0.49291545,-0.6785909,-0.89833844,-0.68620545,0.93252826,-0.5636755
3,0.86719954,-0.21267653,-0.7411934,-0.6822952,0.33201563,-0.19191003,0.8823304,0.22072399,-0.62112,0.21815825,0.4787351,0.6670219,-0.8132088,0.6290083,0.7749492,0.14538074,-0.6844772,-0.047692597,-0.34407914,0.9254416,0.112694025,0.8007313,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.93252826,0.7265743
4,0.8039549,-0.21267653,-0.7411934,-0.6822952,0.33201563,-0.19191003,0.84545565,0.22072399,-0.62112,0.21815825,0.4787351,0.6670219,-0.8132088,-0.13563854,0.7749492,0.2848308,-0.6844772,0.3872397,-0.34407914,0.9254416,0.112694025,0.8007313,-0.49291545,-0.6785909,-0.89833844,-0.68620545,0.9192897,0.5696608
5,0.91732913,-0.21267653,-0.7411934,-0.6822952,0.33201563,0.18062878,0.8823304,0.22072399,-0.62112,0.42576003,0.4787351,0.6670219,-0.8132088,0.6290083,0.7749492,0.14538074,-0.6844772,-0.047692597,-0.34407914,0.9254416,0.112694025,0.8719772,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.93252826,0.7265743
6,0.8084436,-0.21267653,-0.5996272,-0.6822952,0.33201563,-0.19191003,0.8823304,0.22072399,-0.62112,0.42576003,0.4787351,0.6670219,-0.8132088,0.6290083,0.7749492,0.2848308,-0.54796624,0.3872397,-0.34407914,-0.4765246,-0.25117463,0.8007313,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.93252826,0.7265743
7,0.83971095,-0.21267653,-0.7411934,-0.6822952,0.33201563,-0.19191003,0.8823304,0.093474984,-0.62112,0.42576003,0.4787351,0.6670219,0.29932094,0.6290083,0.7749492,0.2848308,-0.6844772,-0.047692597,-0.34407914,-0.4765246,0.112694025,0.8719772,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.93252826,0.5696608
8,0.8283914,-0.21267653,-0.5996272,-0.6822952,-0.56551033,-0.19191003,0.8823304,0.22072399,-0.62112,-0.5008373,0.4787351,0.6670219,-0.8132088,0.6290083,0.9007615,0.14538074,-0.6844772,0.3872397,-0.34407914,-0.4765246,0.112694025,0.8007313,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.9192897,0.7265743
9,0.7950822,-0.21267653,-0.7411934,-0.6822952,-0.56551033,-0.19191003,0.8823304,0.093474984,-0.62112,0.42576003,0.4787351,0.53508425,-0.8132088,0.6290083,0.9007615,0.14538074,-0.6844772,-0.047692597,-0.34407914,-0.4765246,0.112694025,0.8719772,0.4044149,-0.6785909,0.7984737,-0.68620545,0.93252826,0.7265743
10,0.7948282,-0.21267653,-0.5996272,-0.6822952,-0.56551033,0.18062878,-0.73742676,0.093474984,-0.62112,-0.5008373,0.4787351,0.53508425,-0.8132088,0.6290083,0.9007615,0.14538074,-0.54796624,-0.047692597,-0.34407914,-0.4765246,-0.25117463,0.8007313,0.4044149,-0.6785909,-0.89833844,-0.68620545,0.9192897,0.7265743
11,0.58015776,-0.21267653,-0.5996272,-0.6822952,0.38315332,-0.19191003,0.8823304,0.22072399,-0.62112,-0.5008373,0.4787351,0.6670219,0.29932094,0.6290083,0.9007615,0.14538074,-0.6844772,-0.047692597,-0.34407914,-0.4765246,-0.048268795,0.8007313,0.4044149,-0.6785909,0.7984737,-0.68620545,0.9192897,0.5696608
12,0.89453924,-0.21267653,-0.5996272,-0.6822952,-0.56551033,-0.19191003,-0.73742676,0.093474984,-0.62112,-0.5008373,0.4787351,0.53508425,0.29932094,0.6290083,0.9007615,0.14538074,-0.6844772,-0.047692597,0.27266192,-0.4765246,-0.048268795,0.8007313,0.4044149,-0.6785909,0.7984737,-0.68620545,0.9192897,0.5696608
13,0.86885643,-0.21267653,-0.7411934,-0.6822952,-0.56551033,0.18062878,-0.73742676,0.22072399,-0.62112,-0.5008373,0.4787351,0.53508425,-0.8132088,0.6290083,0.9007615,0.14538074,0.6054194,-0.047692597,-0.34407914,-0.4765246,0.112694025,0.8007313,0.4044149,-0.6785909,0.7984737,-0.6113406,0.93252826,0.7265743
14,0.75216794,-0.21267653,-0.7411934,-0.6822952,0.38315332,-0.19191003,0.8823304,0.093474984,-0.62112,-0.5008373,0.4787351,0.53508425,-0.8132088,0.6290083,0.9007615,0.14538074,0.6054194,-0.047692597,-0.34407914,-0.4765246,-0.048268795,0.8007313,0.4044149,0.24323559,0.7984737,-0.6113406,0.9192897,0.5696608
15,0.8010825,-0.21267653,-0.5996272,0.49542785,-0.56551033,0.18062878,0.8823304,0.093474984,-0.62112,-0.5008373,0.4787351,0.53508425,-0.9394839,0.6290083,0.9007615,0.027841568,-0.005931139,-0.047692597,0.27266192,-0.4765246,-0.048268795,0.8007313,0.4044149,0.24323559,0.7984737,-0.68620545,0.9192897,0.7265743
