Generation,Maximum Fitness,Average Fitness,Variance
0,0.7493502,-0.043838453,0.15441152
1,0.7493502,-0.06386662,0.21158177
2,0.7782384,-0.05608653,0.2282759
3,0.7782384,-0.062119044,0.27223945
4,0.7782384,-0.048254114,0.30276006
5,0.7782384,-0.010443625,0.3107453
6,0.7782384,0.011144064,0.24478294
7,0.7782384,0.04575635,0.23827454
8,0.7782384,0.04678021,0.2417277
9,0.7782384,0.06463636,0.1851996
10,0.7782384,0.06367186,0.18948194
11,0.7782384,0.09430133,0.17764695
12,0.7782384,0.14664008,0.16701901
13,0.7782384,0.20417835,0.13999239
14,0.7782384,0.12065989,0.19967549
15,0.7782384,0.12085108,0.18775807
16,0.7782384,0.07717193,0.20173842
17,0.8620759,0.104654014,0.20024282
18,0.8620759,0.14972478,0.20598334
19,0.8620759,0.20826648,0.13106383
20,0.8620759,0.10640495,0.26888534
21,0.8620759,0.15009534,0.21256979
22,0.8620759,0.17962998,0.15757287
23,0.8620759,0.2224865,0.16037007
24,0.8620759,0.19617088,0.23410758
25,0.8620759,0.23639016,0.1391709
26,0.8620759,0.2796743,0.1477755
27,0.8620759,0.29410064,0.12347057
28,0.8620759,0.27334926,0.15769133
29,0.8620759,0.29413772,0.15441239
30,0.8620759,0.25442904,0.22122876
31,0.8620759,0.31649524,0.11242141
32,0.8620759,0.28859988,0.1880614
33,0.8620759,0.33886293,0.1507132
34,0.86699903,0.32485217,0.17379645
35,0.86699903,0.40148464,0.15571092
36,0.86699903,0.3265691,0.26766762
37,0.86699903,0.39701378,0.13219683
38,0.86699903,0.38354447,0.13505068
39,0.86699903,0.42415547,0.10537555
40,0.86699903,0.43106928,0.09295269
41,0.86699903,0.44439483,0.09544989
42,0.86699903,0.44707975,0.10088798
43,0.86699903,0.42819214,0.16416742
44,0.86699903,0.42936218,0.14707303
45,0.86699903,0.4664755,0.103916265
46,0.86699903,0.49621975,0.08539739
47,0.86699903,0.4807972,0.15272725
48,0.8878245,0.5386621,0.08359449
49,0.8878245,0.5212005,0.08649422
50,0.8878245,0.48940334,0.082824275
51,0.8878245,0.49671876,0.08141925
52,0.8878245,0.520167,0.06985948
53,0.8878245,0.5492729,0.061912097
54,0.8878245,0.524907,0.0914188
55,0.8878245,0.5611177,0.05678387
56,0.8878245,0.5665958,0.07267711
57,0.8878245,0.5551795,0.07502692
58,0.8878245,0.5480138,0.09049656
59,0.8878245,0.5770637,0.053638488
60,0.8878245,0.5892013,0.06194073
61,0.8878245,0.5854265,0.05043261
62,0.8878245,0.6026363,0.04705407
63,0.8878245,0.606617,0.05655596
64,0.8878245,0.586464,0.092288256
65,0.8878245,0.6060233,0.06449182
66,0.8878245,0.5883204,0.07755631
67,0.8878245,0.59851766,0.07103951
68,0.8878245,0.6443369,0.037956763
69,0.8878245,0.64027286,0.036678378
70,0.8878245,0.64204836,0.07917811
71,0.8878245,0.6198816,0.047500696
72,0.8878245,0.62990063,0.04480582
73,0.8878245,0.625262,0.044333853
74,0.8878245,0.6556408,0.02784155
75,0.8878245,0.6431462,0.056644898
76,0.8878245,0.595255,0.0795403
77,0.8878245,0.5908618,0.0716441
78,0.8878245,0.60497195,0.08096921
79,0.8878245,0.64186484,0.052554563
80,0.8878245,0.62793624,0.05633409
81,0.8878245,0.6341045,0.04323442
82,0.8878245,0.6499715,0.050489325
83,0.8878245,0.63226324,0.055712305
84,0.8878245,0.60921675,0.06414016
85,0.8878245,0.6052784,0.086871244
86,0.8878245,0.61652464,0.076521724
87,0.8878245,0.65911484,0.042445533
88,0.8878245,0.6559489,0.057549093
89,0.8878245,0.62846106,0.08013009
90,0.8878245,0.6533768,0.047354676
91,0.8878245,0.64173865,0.06438289
92,0.8898577,0.6325735,0.07153355
93,0.8898577,0.66515625,0.052586634
94,0.8898577,0.6473493,0.056604765
95,0.8898577,0.6740505,0.038044084
96,0.8898577,0.6979534,0.028922617
97,0.8898577,0.6755906,0.04169296
98,0.8898577,0.6797027,0.044494104
99,0.8898577,0.6805481,0.04390357
100,0.8898577,0.6931019,0.03630013
101,0.8898577,0.68162596,0.03879523
102,0.8898577,0.6795112,0.047153812
103,0.8898577,0.68891203,0.030232808
104,0.8898577,0.6747172,0.085523166
105,0.8898577,0.6938297,0.029960442
106,0.8898577,0.6727779,0.053290833
107,0.90074915,0.6882814,0.035859108
108,0.90074915,0.6826468,0.046467464
109,0.90074915,0.71389574,0.022333981
