ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.7545637,0.7727994,-0.7304245,-0.18180609,0.8492973,-0.519943,-0.11940879,-0.14640355,-0.052612722,0.04532671,0.79807544,0.9069382,-0.25853246,0.34176028,0.84273326,-0.14538556,-0.7311387,0.6668843,-0.26925159,0.78636765,0.58871543,-0.68688923,-0.03482616,-0.70118606,0.5700468,0.55243206,-0.5982627,-0.15636492
1,0.74247694,-0.22053927,-0.7304245,-0.18180609,0.8492973,-0.519943,0.78948724,-0.03584993,-0.052612722,-0.090605915,0.79807544,0.9069382,-0.25853246,0.19131899,0.8149699,-0.88968974,-0.7311387,0.6668843,-0.26925159,0.29631555,0.58871543,-0.257222,-0.03482616,-0.70118606,0.5700468,0.55243206,-0.5982627,-0.15636492
2,0.81805575,-0.22053927,-0.7304245,-0.18180609,0.8492973,-0.519943,-0.11940879,-0.14640355,-0.052612722,0.04532671,0.79807544,0.9069382,-0.25853246,0.34176028,0.84273326,-0.88968974,-0.7311387,-0.5712869,-0.26925159,0.29631555,0.58871543,-0.257222,-0.03482616,-0.70118606,0.5700468,-0.31019038,-0.5982627,-0.15636492
3,0.84339225,-0.22053927,-0.5844184,0.6823484,0.77460265,-0.519943,0.78948724,-0.14640355,-0.052612722,-0.090605915,0.64547956,0.9069382,0.23232663,0.34176028,0.8149699,-0.88968974,-0.7311387,-0.5712869,-0.26925159,-0.40210903,0.58871543,0.2624029,-0.03482616,0.8353617,0.5700468,0.55243206,-0.5982627,-0.15636492
4,0.8602665,0.7727994,-0.7304245,-0.96848255,0.77460265,-0.519943,-0.6089293,-0.14640355,-0.052612722,0.04532671,0.64547956,0.34928477,0.23232663,-0.8796942,0.84273326,-0.14538556,-0.7311387,0.6668843,-0.26925159,-0.40210903,0.58871543,0.2624029,-0.6344794,0.8353617,0.5700468,0.55243206,-0.7009449,-0.15636492
5,0.73676026,0.7727994,-0.5844184,-0.18180609,0.8492973,-0.519943,-0.11940879,-0.14640355,-0.052612722,-0.090605915,0.64547956,0.9069382,0.23232663,0.34176028,0.84273326,-0.88968974,-0.7311387,-0.5712869,0.4083364,0.29631555,0.58871543,0.2624029,0.4992578,0.8353617,-0.30085993,0.55243206,-0.5982627,0.627478
6,0.7797514,0.7727994,-0.5844184,-0.18180609,0.77460265,-0.519943,0.78948724,-0.056084633,-0.052612722,-0.090605915,0.79807544,0.2417928,0.23232663,0.34176028,0.84273326,-0.88968974,-0.7311387,-0.5712869,0.4083364,0.29631555,0.51981914,0.2624029,-0.6344794,0.8353617,-0.5616983,0.55243206,-0.5982627,0.627478
7,0.7529562,-0.22053927,-0.5844184,-0.18180609,0.77460265,-0.519943,0.78948724,-0.056084633,-0.052612722,-0.090605915,0.5864011,0.34928477,0.23232663,0.34176028,0.84273326,-0.88968974,-0.7311387,0.6668843,0.4083364,0.29631555,0.51981914,-0.17690629,-0.6344794,0.8353617,-0.26857233,0.55243206,-0.7009449,0.627478
8,0.8446758,-0.22053927,-0.5844184,-0.96848255,0.77460265,-0.519943,0.78948724,-0.056084633,-0.052612722,-0.090605915,0.64547956,0.34928477,-0.31075555,0.34176028,0.84273326,-0.88968974,-0.7311387,0.6668843,0.078176856,0.29631555,0.51981914,0.2624029,-0.6344794,0.8353617,-0.26857233,-0.31019038,-0.7009449,0.627478
9,0.73987347,0.7727994,-0.5844184,-0.18180609,-0.16329426,0.3943467,-0.6089293,0.6622747,-0.052612722,-0.090605915,0.64547956,0.34928477,-0.31075555,0.34176028,0.84273326,-0.88968974,-0.7311387,0.6668843,0.078176856,0.29631555,0.51981914,0.2624029,-0.6344794,0.8353617,0.5700468,0.55243206,-0.7009449,0.627478
